county,state,year,office,dem_votes,rep_votes,total_votes,cvap,treat,treat_year,dem_share,rep_share,turnout,log_cvap,county_id,state_year,county_idx,state_year_idx,year_2020,year_2022,year_2024,state_CA,state_UT,state_WA
Alameda,CA,2020,pres,617659.0,136309.0,770070.0,1091231,0,2022.0,0.8192111601553381,0.18078883984466185,0.7056892628600178,13.902816974758712,CA_Alameda,CA_2020,0,0,1,0,0,1,0,0
Alpine,CA,2020,pres,476.0,244.0,741.0,912,0,inf,0.6611111111111111,0.3388888888888889,0.8125,6.815639990074331,CA_Alpine,CA_2020,1,0,1,0,0,1,0,0
Amador,CA,2020,pres,8153.0,13585.0,22304.0,31737,1,2020.0,0.3750575029901555,0.6249424970098445,0.7027759397548603,10.365238471654884,CA_Amador,CA_2020,2,0,1,0,0,1,0,0
Butte,CA,2020,pres,50426.0,48730.0,102066.0,177316,1,2020.0,0.508552180402598,0.4914478195974021,0.5756164136344154,12.085688730517479,CA_Butte,CA_2020,3,0,1,0,0,1,0,0
Calaveras,CA,2020,pres,10046.0,16518.0,27164.0,36888,1,2020.0,0.37818099683782563,0.6218190031621744,0.7363912383430926,10.515641573886542,CA_Calaveras,CA_2020,4,0,1,0,0,1,0,0
Colusa,CA,2020,pres,3239.0,4559.0,7961.0,12617,0,inf,0.4153629135675814,0.5846370864324185,0.6309740825869858,9.442800389927742,CA_Colusa,CA_2020,5,0,1,0,0,1,0,0
Contra Costa,CA,2020,pres,416386.0,152877.0,581316.0,767774,0,inf,0.731447503175158,0.26855249682484195,0.757144680596113,13.551250697990318,CA_Contra Costa,CA_2020,6,0,1,0,0,1,0,0
Del Norte,CA,2020,pres,4677.0,6461.0,11453.0,21022,0,inf,0.4199138085832286,0.5800861914167714,0.5448101988393111,9.9533247873833,CA_Del Norte,CA_2020,7,0,1,0,0,1,0,0
El Dorado,CA,2020,pres,51621.0,61838.0,116159.0,143901,1,2020.0,0.4549749248627257,0.5450250751372743,0.8072146823163147,11.87688084212164,CA_El Dorado,CA_2020,8,0,1,0,0,1,0,0
Fresno,CA,2020,pres,193025.0,164464.0,364917.0,592660,1,2020.0,0.539946683674183,0.46005331632581703,0.6157273985084196,13.292376157730686,CA_Fresno,CA_2020,9,0,1,0,0,1,0,0
Glenn,CA,2020,pres,3995.0,7063.0,11297.0,17227,0,inf,0.36127690359920417,0.6387230964007958,0.6557729146107854,9.75423319944637,CA_Glenn,CA_2020,10,0,1,0,0,1,0,0
Humboldt,CA,2020,pres,44768.0,21770.0,68843.0,107508,0,2024.0,0.6728185397817789,0.32718146021822114,0.6403523458719351,11.58532054238558,CA_Humboldt,CA_2020,11,0,1,0,0,1,0,0
Imperial,CA,2020,pres,34678.0,20847.0,56743.0,104672,0,2024.0,0.6245475011256191,0.3754524988743809,0.5421029501681442,11.55858693033811,CA_Imperial,CA_2020,12,0,1,0,0,1,0,0
Inyo,CA,2020,pres,4634.0,4620.0,9484.0,13933,0,inf,0.5007564296520424,0.49924357034795763,0.6806861408167659,9.542015406113592,CA_Inyo,CA_2020,13,0,1,0,0,1,0,0
Kern,CA,2020,pres,133366.0,164484.0,305292.0,525952,0,inf,0.4477622964579486,0.5522377035420514,0.580456011194938,13.172965232803026,CA_Kern,CA_2020,14,0,1,0,0,1,0,0
Kings,CA,2020,pres,18699.0,24072.0,43861.0,94900,0,2022.0,0.4371887493862664,0.5628112506137336,0.46218124341412015,11.460578984598019,CA_Kings,CA_2020,15,0,1,0,0,1,0,0
Lake,CA,2020,pres,14941.0,13123.0,28812.0,48756,0,inf,0.5323902508551881,0.46760974914481185,0.5909426532119124,10.794583545775726,CA_Lake,CA_2020,16,0,1,0,0,1,0,0
Lassen,CA,2020,pres,2799.0,8970.0,11987.0,25647,0,inf,0.23782819270966096,0.7621718072903391,0.46738409950481535,10.152181884694343,CA_Lassen,CA_2020,17,0,1,0,0,1,0,0
Los Angeles,CA,2020,pres,3028885.0,1145530.0,4264365.0,6397822,1,2020.0,0.7255831056567208,0.27441689434327926,0.6665338610545901,15.67146817791046,CA_Los Angeles,CA_2020,18,0,1,0,0,1,0,0
Madera,CA,2020,pres,23168.0,29378.0,53732.0,93120,1,2018.0,0.44090891790050624,0.5590910820994938,0.5770189003436426,11.441644262965264,CA_Madera,CA_2020,19,0,1,0,0,1,0,0
Marin,CA,2020,pres,128288.0,24612.0,155830.0,188235,0,2022.0,0.839032047089601,0.16096795291039895,0.8278481685127633,12.145446461212519,CA_Marin,CA_2020,20,0,1,0,0,1,0,0
Mariposa,CA,2020,pres,4088.0,5950.0,10280.0,14280,1,2020.0,0.4072524407252441,0.592747559274756,0.7198879551820728,9.566615235893575,CA_Mariposa,CA_2020,21,0,1,0,0,1,0,0
Mendocino,CA,2020,pres,28782.0,13267.0,43340.0,62979,0,inf,0.684487145948774,0.315512854051226,0.6881658965686975,11.050556616472432,CA_Mendocino,CA_2020,22,0,1,0,0,1,0,0
Merced,CA,2020,pres,48991.0,39397.0,90554.0,152097,0,2022.0,0.5542720731320994,0.44572792686790064,0.5953700598959875,11.932273754186989,CA_Merced,CA_2020,23,0,1,0,0,1,0,0
Modoc,CA,2020,pres,1150.0,3109.0,4343.0,6869,0,inf,0.2700164357830477,0.7299835642169523,0.6322608822244868,8.834773814213882,CA_Modoc,CA_2020,24,0,1,0,0,1,0,0
Mono,CA,2020,pres,4013.0,2513.0,6738.0,9894,0,inf,0.6149249157217285,0.38507508427827153,0.6810187992722863,9.199683791787654,CA_Mono,CA_2020,25,0,1,0,0,1,0,0
Monterey,CA,2020,pres,113953.0,46299.0,163923.0,235329,0,inf,0.7110862890946759,0.28891371090532414,0.6965694835740601,12.368739814040003,CA_Monterey,CA_2020,26,0,1,0,0,1,0,0
