county,dem_votes,rep_votes,total_votes,year,office,state
Alameda,617659,136309,770070.0,2020,pres,CA
Alpine,476,244,741.0,2020,pres,CA
Amador,8153,13585,22304.0,2020,pres,CA
Butte,50426,48730,102066.0,2020,pres,CA
Calaveras,10046,16518,27164.0,2020,pres,CA
Colusa,3239,4559,7961.0,2020,pres,CA
Contra Costa,416386,152877,581316.0,2020,pres,CA
Del Norte,4677,6461,11453.0,2020,pres,CA
El Dorado,51621,61838,116159.0,2020,pres,CA
Fresno,193025,164464,364917.0,2020,pres,CA
Glenn,3995,7063,11297.0,2020,pres,CA
Humboldt,44768,21770,68843.0,2020,pres,CA
Imperial,34678,20847,56743.0,2020,pres,CA
Inyo,4634,4620,9484.0,2020,pres,CA
Kern,133366,164484,305292.0,2020,pres,CA
Kings,18699,24072,43861.0,2020,pres,CA
Lake,14941,13123,28812.0,2020,pres,CA
Lassen,2799,8970,11987.0,2020,pres,CA
Los Angeles,3028885,1145530,4264365.0,2020,pres,CA
Madera,23168,29378,53732.0,2020,pres,CA
Marin,128288,24612,155830.0,2020,pres,CA
Mariposa,4088,5950,10280.0,2020,pres,CA
Mendocino,28782,13267,43340.0,2020,pres,CA
Merced,48991,39397,90554.0,2020,pres,CA
Modoc,1150,3109,4343.0,2020,pres,CA
Mono,4013,2513,6738.0,2020,pres,CA
Monterey,113953,46299,163923.0,2020,pres,CA
Napa,49817,20676,72150.0,2020,pres,CA
Nevada,36359,26779,64750.0,2020,pres,CA
Orange,814009,676498,1522113.0,2020,pres,CA
Placer,106869,122488,235084.0,2020,pres,CA
Plumas,4561,6445,11260.0,2020,pres,CA
Riverside,528340,449144,997156.0,2020,pres,CA
Sacramento,440808,259405,718440.0,2020,pres,CA
San Benito,17628,10590,28830.0,2020,pres,CA
San Bernardino,455859,366257,841130.0,2020,pres,CA
San Diego,964650,600094,1602143.0,2020,pres,CA
San Francisco,378156,56417,443553.0,2020,pres,CA
San Joaquin,161137,121098,288492.0,2020,pres,CA
San Luis Obispo,88310,67436,159714.0,2020,pres,CA
San Mateo,291496,75584,374251.0,2020,pres,CA
Santa Barbara,129963,65736,200339.0,2020,pres,CA
Santa Clara,617967,214612,850741.0,2020,pres,CA
Santa Cruz,114246,26937,144837.0,2020,pres,CA
Shasta,30000,60789,92930.0,2020,pres,CA
Sierra,730,1142,1931.0,2020,pres,CA
Siskiyou,9593,13290,23472.0,2020,pres,CA
Solano,131639,69306,205877.0,2020,pres,CA
Sonoma,199938,61825,268317.0,2020,pres,CA
Stanislaus,105841,104145,214954.0,2020,pres,CA
Sutter,17367,24375,42644.0,2020,pres,CA
Tehama,8911,19141,28731.0,2020,pres,CA
Trinity,2851,3188,6259.0,2020,pres,CA
Tulare,66105,77579,146885.0,2020,pres,CA
Tuolumne,11978,17689,30408.0,2020,pres,CA
Ventura,251388,162207,422825.0,2020,pres,CA
Yolo,67598,27292,97294.0,2020,pres,CA
Yuba,11230,17676,29796.0,2020,pres,CA
Alameda,387046,100923,487969.0,2022,gov,CA
Alpine,363,256,619.0,2022,gov,CA
Amador,6027,12628,18655.0,2022,gov,CA
Butte,31502,40939,72441.0,2022,gov,CA
Calaveras,7103,14137,21240.0,2022,gov,CA
Colusa,1553,4009,5562.0,2022,gov,CA
Contra Costa,265371,123132,388503.0,2022,gov,CA
Del Norte,3264,5111,8375.0,2022,gov,CA
El Dorado,34534,54137,88671.0,2022,gov,CA
Fresno,98417,120668,219085.0,2022,gov,CA
Glenn,1930,6000,7930.0,2022,gov,CA
Humboldt,29541,18257,47798.0,2022,gov,CA
Imperial,16711,13158,29869.0,2022,gov,CA
Inyo,3382,4095,7477.0,2022,gov,CA
Kern,69706,119006,188712.0,2022,gov,CA
Kings,9389,17523,26912.0,2022,gov,CA
Lake,9771,10360,20131.0,2022,gov,CA
Lassen,1444,7726,9170.0,2022,gov,CA
Los Angeles,1620053,769174,2389227.0,2022,gov,CA
Madera,13283,23678,36961.0,2022,gov,CA
Marin,95289,23775,119064.0,2022,gov,CA
Mariposa,2944,4896,7840.0,2022,gov,CA
Mendocino,19031,11363,30394.0,2022,gov,CA
Merced,25200,30073,55273.0,2022,gov,CA
Modoc,687,2725,3412.0,2022,gov,CA
Mono,2493,2076,4569.0,2022,gov,CA
Monterey,65262,36867,102129.0,2022,gov,CA
Napa,32437,17671,50108.0,2022,gov,CA
Nevada,26655,24082,50737.0,2022,gov,CA
Orange,464206,492734,956940.0,2022,gov,CA
Placer,73619,108450,182069.0,2022,gov,CA
Plumas,3083,5550,8633.0,2022,gov,CA
Riverside,285000,310901,595901.0,2022,gov,CA
Sacramento,274680,202933,477613.0,2022,gov,CA
San Benito,10428,9150,19578.0,2022,gov,CA
San Bernardino,215391,239109,454500.0,2022,gov,CA
San Diego,574121,455107,1029228.0,2022,gov,CA
San Francisco,257402,44064,301466.0,2022,gov,CA
San Joaquin,85498,91827,177325.0,2022,gov,CA
San Luis Obispo,61166,58464,119630.0,2022,gov,CA
San Mateo,185599,61918,247517.0,2022,gov,CA
Santa Barbara,80648,54726,135374.0,2022,gov,CA
Santa Clara,379377,162518,541895.0,2022,gov,CA
Santa Cruz,79117,25052,104169.0,2022,gov,CA
Shasta,18607,49913,68520.0,2022,gov,CA
Sierra,529,1014,1543.0,2022,gov,CA
Siskiyou,6326,11397,17723.0,2022,gov,CA
Solano,77769,52850,130619.0,2022,gov,CA
Sonoma,140041,57413,197454.0,2022,gov,CA
Stanislaus,55311,75656,130967.0,2022,gov,CA
Sutter,9082,19024,28106.0,2022,gov,CA
Tehama,5024,15607,20631.0,2022,gov,CA
Trinity,1860,2667,4527.0,2022,gov,CA
Tulare,33273,58053,91326.0,2022,gov,CA
Tuolumne,8471,14759,23230.0,2022,gov,CA
Ventura,153226,127709,280935.0,2022,gov,CA
Yolo,44328,22807,67135.0,2022,gov,CA
Yuba,6534,13097,19631.0,2022,gov,CA
Alameda,499551,140789,669907.0,2024,pres,CA
Alpine,479,243,738.0,2024,pres,CA
Amador,7783,14018,22403.0,2024,pres,CA
Butte,44228,47179,94556.0,2024,pres,CA
Calaveras,9181,16625,26480.0,2024,pres,CA
Colusa,2431,4414,7021.0,2024,pres,CA
Contra Costa,356008,155308,528987.0,2024,pres,CA
Del Norte,4266,5999,10565.0,2024,pres,CA
El Dorado,47703,61109,111908.0,2024,pres,CA
Fresno,151628,165924,326049.0,2024,pres,CA
Glenn,3260,6904,10442.0,2024,pres,CA
Humboldt,39800,21559,64232.0,2024,pres,CA
Imperial,26083,26546,54038.0,2024,pres,CA
Inyo,4201,4468,8953.0,2024,pres,CA
Kern,108241,167879,283284.0,2024,pres,CA
Kings,15519,25074,41508.0,2024,pres,CA
Lake,12794,13161,26761.0,2024,pres,CA
Lassen,2478,8619,11371.0,2024,pres,CA
Los Angeles,2417109,1189862,3729089.0,2024,pres,CA
Madera,20981,32344,54632.0,2024,pres,CA
Marin,116152,24054,144129.0,2024,pres,CA
Mariposa,3622,5625,9509.0,2024,pres,CA
Mendocino,24049,13528,39219.0,2024,pres,CA
Merced,40190,43955,86411.0,2024,pres,CA
Modoc,1008,2884,4016.0,2024,pres,CA
Mono,3522,2294,6064.0,2024,pres,CA
Monterey,93060,49226,146754.0,2024,pres,CA
Napa,43212,20357,65561.0,2024,pres,CA
Nevada,33784,26177,62144.0,2024,pres,CA
Orange,691731,654815,1391307.0,2024,pres,CA
Placer,103958,123941,234871.0,2024,pres,CA
Plumas,4020,5725,10070.0,2024,pres,CA
Riverside,451782,463677,940510.0,2024,pres,CA
Sacramento,381564,252140,656747.0,2024,pres,CA
San Benito,15179,11702,27652.0,2024,pres,CA
San Bernardino,362114,378416,761846.0,2024,pres,CA
San Diego,841372,593270,1478028.0,2024,pres,CA
San Francisco,323719,62594,402997.0,2024,pres,CA
San Joaquin,126647,128996,263709.0,2024,pres,CA
San Luis Obispo,81314,64932,150812.0,2024,pres,CA
San Mateo,242957,76616,330565.0,2024,pres,CA
Santa Barbara,114149,64870,184781.0,2024,pres,CA
Santa Clara,510744,210924,750606.0,2024,pres,CA
Santa Cruz,100998,27978,134155.0,2024,pres,CA
Shasta,27130,59539,88919.0,2024,pres,CA
Sierra,641,1066,1755.0,2024,pres,CA
Siskiyou,8329,12461,21498.0,2024,pres,CA
Solano,113997,70345,189883.0,2024,pres,CA
Sonoma,179600,63426,251465.0,2024,pres,CA
Stanislaus,85347,106986,197525.0,2024,pres,CA
Sutter,13016,25372,39339.0,2024,pres,CA
