county,vca_first_year,source,verified
Alameda,2022,CA SOS VCA Report,Yes
Alpine,9999,Not adopted,Yes
Amador,2020,CA SOS VCA Report,Yes
Butte,2020,CA SOS VCA Report,Yes
Calaveras,2020,CA SOS VCA Report,Yes
Colusa,9999,Not adopted,Yes
Contra Costa,9999,Not adopted,Yes
Del Norte,9999,Not adopted,Yes
El Dorado,2020,CA SOS VCA Report,Yes
Fresno,2020,CA SOS VCA Report,Yes
Glenn,9999,Not adopted,Yes
Humboldt,2024,CA SOS VCA Report,Yes
Imperial,2024,CA SOS VCA Report,Yes
Inyo,9999,Not adopted,Yes
Kern,9999,Not adopted,Yes
Kings,2022,CA SOS VCA Report,Yes
Lake,9999,Not adopted,Yes
Lassen,9999,Not adopted,Yes
Los Angeles,2020,CA SOS VCA Report,Yes
Madera,2018,CA SOS VCA Report,Yes
Marin,2022,CA SOS VCA Report,Yes
Mariposa,2020,CA SOS VCA Report,Yes
Mendocino,9999,Not adopted,Yes
Merced,2022,CA SOS VCA Report,Yes
Modoc,9999,Not adopted,Yes
Mono,9999,Not adopted,Yes
Monterey,9999,Not adopted,Yes
Napa,2018,CA SOS VCA Report,Yes
Nevada,2018,CA SOS VCA Report,Yes
Orange,2020,CA SOS VCA Report,Yes
Placer,2024,CA SOS VCA Report,Yes
Plumas,9999,Not adopted,Yes
Riverside,2022,CA SOS VCA Report,Yes
Sacramento,2018,CA SOS VCA Report,Yes
San Benito,2022,CA SOS VCA Report,Yes
San Bernardino,9999,Not adopted,Yes
San Diego,2022,CA SOS VCA Report,Yes
San Francisco,9999,Not adopted,Yes
San Joaquin,9999,Not adopted,Yes
San Luis Obispo,9999,Not adopted,Yes
San Mateo,2018,CA SOS VCA Report,Yes
Santa Barbara,9999,Not adopted,Yes
Santa Clara,2020,CA SOS VCA Report,Yes
Santa Cruz,2022,CA SOS VCA Report,Yes
Shasta,9999,Not adopted,Yes
Sierra,9999,Not adopted,Yes
Siskiyou,9999,Not adopted,Yes
Solano,9999,Not adopted,Yes
Sonoma,2022,CA SOS VCA Report,Yes
Stanislaus,2022,CA SOS VCA Report,Yes
Sutter,9999,Not adopted,Yes
Tehama,9999,Not adopted,Yes
Trinity,9999,Not adopted,Yes
Tulare,9999,Not adopted,Yes
Tuolumne,2020,CA SOS VCA Report,Yes
Ventura,2022,CA SOS VCA Report,Yes
Yolo,2022,CA SOS VCA Report,Yes
Yuba,9999,Not adopted,Yes
