county,dem_votes,rep_votes,total_votes,year,office,state
Alameda,617659.0,136309.0,770070.0,2020,pres,CA
Alpine,476.0,244.0,741.0,2020,pres,CA
Amador,8153.0,13585.0,22304.0,2020,pres,CA
Butte,50426.0,48730.0,102066.0,2020,pres,CA
Calaveras,10046.0,16518.0,27164.0,2020,pres,CA
Colusa,3239.0,4559.0,7961.0,2020,pres,CA
Contra Costa,416386.0,152877.0,581316.0,2020,pres,CA
Del Norte,4677.0,6461.0,11453.0,2020,pres,CA
El Dorado,51621.0,61838.0,116159.0,2020,pres,CA
Fresno,193025.0,164464.0,364917.0,2020,pres,CA
Glenn,3995.0,7063.0,11297.0,2020,pres,CA
Humboldt,44768.0,21770.0,68843.0,2020,pres,CA
Imperial,34678.0,20847.0,56743.0,2020,pres,CA
Inyo,4634.0,4620.0,9484.0,2020,pres,CA
Kern,133366.0,164484.0,305292.0,2020,pres,CA
Kings,18699.0,24072.0,43861.0,2020,pres,CA
Lake,14941.0,13123.0,28812.0,2020,pres,CA
Lassen,2799.0,8970.0,11987.0,2020,pres,CA
Los Angeles,3028885.0,1145530.0,4264365.0,2020,pres,CA
Madera,23168.0,29378.0,53732.0,2020,pres,CA
Marin,128288.0,24612.0,155830.0,2020,pres,CA
Mariposa,4088.0,5950.0,10280.0,2020,pres,CA
Mendocino,28782.0,13267.0,43340.0,2020,pres,CA
Merced,48991.0,39397.0,90554.0,2020,pres,CA
Modoc,1150.0,3109.0,4343.0,2020,pres,CA
Mono,4013.0,2513.0,6738.0,2020,pres,CA
Monterey,113953.0,46299.0,163923.0,2020,pres,CA
Napa,49817.0,20676.0,72150.0,2020,pres,CA
Nevada,36359.0,26779.0,64750.0,2020,pres,CA
Orange,814009.0,676498.0,1522113.0,2020,pres,CA
Placer,106869.0,122488.0,235084.0,2020,pres,CA
Plumas,4561.0,6445.0,11260.0,2020,pres,CA
Riverside,528340.0,449144.0,997156.0,2020,pres,CA
Sacramento,440808.0,259405.0,718440.0,2020,pres,CA
San Benito,17628.0,10590.0,28830.0,2020,pres,CA
San Bernardino,455859.0,366257.0,841130.0,2020,pres,CA
San Diego,964650.0,600094.0,1602143.0,2020,pres,CA
San Francisco,378156.0,56417.0,443553.0,2020,pres,CA
San Joaquin,161137.0,121098.0,288492.0,2020,pres,CA
San Luis Obispo,88310.0,67436.0,159714.0,2020,pres,CA
San Mateo,291496.0,75584.0,374251.0,2020,pres,CA
Santa Barbara,129963.0,65736.0,200339.0,2020,pres,CA
Santa Clara,617967.0,214612.0,850741.0,2020,pres,CA
Santa Cruz,114246.0,26937.0,144837.0,2020,pres,CA
Shasta,30000.0,60789.0,92930.0,2020,pres,CA
Sierra,730.0,1142.0,1931.0,2020,pres,CA
Siskiyou,9593.0,13290.0,23472.0,2020,pres,CA
Solano,131639.0,69306.0,205877.0,2020,pres,CA
Sonoma,199938.0,61825.0,268317.0,2020,pres,CA
Stanislaus,105841.0,104145.0,214954.0,2020,pres,CA
Sutter,17367.0,24375.0,42644.0,2020,pres,CA
Tehama,8911.0,19141.0,28731.0,2020,pres,CA
Trinity,2851.0,3188.0,6259.0,2020,pres,CA
Tulare,66105.0,77579.0,146885.0,2020,pres,CA
Tuolumne,11978.0,17689.0,30408.0,2020,pres,CA
Ventura,251388.0,162207.0,422825.0,2020,pres,CA
Yolo,67598.0,27292.0,97294.0,2020,pres,CA
Yuba,11230.0,17676.0,29796.0,2020,pres,CA
Alameda,387046.0,100923.0,487969.0,2022,gov,CA
Alpine,363.0,256.0,619.0,2022,gov,CA
Amador,6027.0,12628.0,18655.0,2022,gov,CA
Butte,31502.0,40939.0,72441.0,2022,gov,CA
Calaveras,7103.0,14137.0,21240.0,2022,gov,CA
Colusa,1553.0,4009.0,5562.0,2022,gov,CA
Contra Costa,265371.0,123132.0,388503.0,2022,gov,CA
Del Norte,3264.0,5111.0,8375.0,2022,gov,CA
El Dorado,34534.0,54137.0,88671.0,2022,gov,CA
Fresno,98417.0,120668.0,219085.0,2022,gov,CA
