county,dem_votes,rep_votes,total_votes,year,office,state
Beaver,419,1971,2447,2022,sen,UT
Box Elder,4725,14434,19898,2022,sen,UT
Cache,15580,24588,41982,2022,sen,UT
Carbon,2114,4265,6728,2022,sen,UT
Daggett,109,377,498,2022,sen,UT
Davis,52806,66385,123742,2022,sen,UT
Duchesne,912,5170,6281,2022,sen,UT
Emery,712,3269,4107,2022,sen,UT
Garfield,520,1795,2385,2022,sen,UT
Grand,2421,1901,4643,2022,sen,UT
Iron,3755,12923,17309,2022,sen,UT
Juab,714,3886,4731,2022,sen,UT
Kane,946,2553,3659,2022,sen,UT
Millard,701,4279,5130,2022,sen,UT
Morgan,1358,3665,5157,2022,sen,UT
Piute,82,692,783,2022,sen,UT
Rich,206,844,1073,2022,sen,UT
Salt Lake,218495,144931,381108,2022,sen,UT
San Juan,1815,3118,5560,2022,sen,UT
Sanpete,1912,7829,10004,2022,sen,UT
Sevier,1152,6411,7775,2022,sen,UT
Summit,12325,7305,20354,2022,sen,UT
Tooele,7487,13371,22069,2022,sen,UT
Uintah,1559,8905,10833,2022,sen,UT
Utah,72238,127096,206045,2022,sen,UT
Wasatch,5429,7528,13464,2022,sen,UT
Washington,17786,49420,69501,2022,sen,UT
Wayne,415,1056,1514,2022,sen,UT
Weber,31265,42007,77039,2022,sen,UT
