county,dem_votes,rep_votes,total_votes,year,office,state
Beaver,394,2781,3270,2024,pres,UT
Box Elder,5274,22853,28970,2024,pres,UT
Cache,18718,39457,59920,2024,pres,UT
Carbon,2525,6719,9521,2024,pres,UT
Daggett,101,443,560,2024,pres,UT
Davis,59895,101293,166023,2024,pres,UT
Duchesne,1009,7815,9088,2024,pres,UT
Emery,603,4341,5092,2024,pres,UT
Garfield,541,2211,2834,2024,pres,UT
Grand,2828,2327,5309,2024,pres,UT
Iron,5683,21571,28071,2024,pres,UT
Juab,734,5671,6597,2024,pres,UT
Kane,1137,3277,4546,2024,pres,UT
Millard,713,5558,6459,2024,pres,UT
Morgan,1256,5300,6752,2024,pres,UT
Piute,94,854,976,2024,pres,UT
Rich,214,1211,1467,2024,pres,UT
Salt Lake,273658,221555,510069,2024,pres,UT
San Juan,2581,3613,6379,2024,pres,UT
Sanpete,1906,10653,12935,2024,pres,UT
Sevier,1236,9526,11084,2024,pres,UT
Summit,14612,10783,26156,2024,pres,UT
Tooele,9560,23484,34035,2024,pres,UT
Uintah,1952,13599,16017,2024,pres,UT
Utah,84937,203476,297065,2024,pres,UT
Wasatch,6459,11495,18492,2024,pres,UT
Washington,22327,73165,98356,2024,pres,UT
Wayne,381,1238,1667,2024,pres,UT
Weber,41238,67549,112050,2024,pres,UT
