county,dem_votes,rep_votes,total_votes,year,office,state
Adams,1333,3204,4537,2022,sen,WA
Asotin,3124,6001,9125,2022,sen,WA
Benton,28452,49496,77948,2022,sen,WA
Chelan,14223,18650,32873,2022,sen,WA
Clallam,18172,18910,37082,2022,sen,WA
Clark,103148,103561,206709,2022,sen,WA
Columbia,491,1438,1929,2022,sen,WA
Cowlitz,17596,28226,45822,2022,sen,WA
Douglas,5742,10622,16364,2022,sen,WA
Ferry,1092,2272,3364,2022,sen,WA
Franklin,9806,14791,24597,2022,sen,WA
Garfield,269,877,1146,2022,sen,WA
Grant,8688,20305,28993,2022,sen,WA
Grays Harbor,12756,16298,29054,2022,sen,WA
Island,21474,18650,40124,2022,sen,WA
Jefferson,12646,5683,18329,2022,sen,WA
King,666935,220701,887636,2022,sen,WA
Kitsap,66360,50478,116838,2022,sen,WA
Kittitas,8395,11565,19960,2022,sen,WA
Klickitat,4380,5934,10314,2022,sen,WA
Lewis,10673,24099,34772,2022,sen,WA
Lincoln,1259,4223,5482,2022,sen,WA
Mason,12694,15341,28035,2022,sen,WA
Okanogan,6542,9708,16250,2022,sen,WA
Pacific,4994,5701,10695,2022,sen,WA
Pend Oreille,1906,4697,6603,2022,sen,WA
Pierce,183404,162127,345531,2022,sen,WA
San Juan,7149,2507,9656,2022,sen,WA
Skagit,28118,26863,54981,2022,sen,WA
Skamania,2346,3185,5531,2022,sen,WA
Snohomish,188713,136461,325174,2022,sen,WA
Spokane,99797,121824,221621,2022,sen,WA
Stevens,5762,16241,22003,2022,sen,WA
Thurston,71013,53523,124536,2022,sen,WA
Wahkiakum,856,1428,2284,2022,sen,WA
Walla Walla,10063,13447,23510,2022,sen,WA
Whatcom,61496,41398,102894,2022,sen,WA
Whitman,8221,7434,15655,2022,sen,WA
Yakima,31740,41452,73192,2022,sen,WA
