county,dem_votes,rep_votes,total_votes,year,office,state
Adams,1455,3767,5345,2024,pres,WA
Asotin,4082,7004,11396,2024,pres,WA
Benton,37662,59555,99947,2024,pres,WA
Chelan,18397,22363,41893,2024,pres,WA
Clallam,25440,21632,48390,2024,pres,WA
Clark,143206,123998,274795,2024,pres,WA
Columbia,661,1737,2476,2024,pres,WA
Cowlitz,22825,34580,59020,2024,pres,WA
Douglas,7410,13095,21069,2024,pres,WA
Ferry,1315,2667,4096,2024,pres,WA
Franklin,11884,19086,31739,2024,pres,WA
Garfield,330,973,1343,2024,pres,WA
Grant,10806,24326,36069,2024,pres,WA
Grays Harbor,17161,19432,37638,2024,pres,WA
Island,29595,20967,52075,2024,pres,WA
Jefferson,17459,6324,24572,2024,pres,WA
King,832606,252193,1122881,2024,pres,WA
Kitsap,91731,59080,155893,2024,pres,WA
Kittitas,10810,14645,26309,2024,pres,WA
Klickitat,5917,7178,13527,2024,pres,WA
Lewis,14433,29322,45112,2024,pres,WA
Lincoln,1678,5272,7107,2024,pres,WA
Mason,17215,18127,36502,2024,pres,WA
Okanogan,8466,11555,20617,2024,pres,WA
Pacific,6825,7010,14178,2024,pres,WA
Pend Oreille,2461,5826,8497,2024,pres,WA
Pierce,235169,188194,436685,2024,pres,WA
San Juan,9539,2890,12939,2024,pres,WA
Skagit,36956,30765,69837,2024,pres,WA
Skamania,3147,3961,7314,2024,pres,WA
Snohomish,240099,161371,415327,2024,pres,WA
Spokane,131163,145338,284958,2024,pres,WA
Stevens,7492,19895,28095,2024,pres,WA
Thurston,95663,62282,163637,2024,pres,WA
Wahkiakum,1204,1757,3053,2024,pres,WA
Walla Walla,13106,15476,29373,2024,pres,WA
Whatcom,83295,49213,137006,2024,pres,WA
Whitman,10480,8699,19845,2024,pres,WA
Yakima,36706,49368,88280,2024,pres,WA
