county,dem_votes,rep_votes,total_votes,year,office,state
Adams,1814,3907,5862,2020,pres,WA
Asotin,4250,7319,11951,2020,pres,WA
Benton,38706,60365,103033,2020,pres,WA
Chelan,19349,22746,43306,2020,pres,WA
Clallam,24721,23062,49264,2020,pres,WA
Clark,140324,126303,275403,2020,pres,WA
Columbia,668,1754,2495,2020,pres,WA
Cowlitz,23938,34424,60280,2020,pres,WA
Douglas,7811,12955,21308,2020,pres,WA
Ferry,1486,2771,4367,2020,pres,WA
Franklin,13340,18039,32404,2020,pres,WA
Garfield,366,1069,1489,2020,pres,WA
Grant,11819,24764,37680,2020,pres,WA
Grays Harbor,17354,19877,38441,2020,pres,WA
Island,29213,22746,53925,2020,pres,WA
Jefferson,17204,6931,24792,2020,pres,WA
King,907310,269167,1210507,2020,pres,WA
Kitsap,90277,61563,158672,2020,pres,WA
Kittitas,11421,14105,26364,2020,pres,WA
Klickitat,5959,7237,13560,2020,pres,WA
Lewis,14520,29391,45309,2020,pres,WA
Lincoln,1713,5150,7033,2020,pres,WA
Mason,17269,18710,37303,2020,pres,WA
Okanogan,8900,11840,21282,2020,pres,WA
Pacific,6794,6953,14064,2020,pres,WA
Pend Oreille,2593,5728,8553,2020,pres,WA
Pierce,249506,197730,464081,2020,pres,WA
San Juan,9725,3057,13197,2020,pres,WA
Skagit,38252,32762,73423,2020,pres,WA
Skamania,3192,3885,7312,2020,pres,WA
Snohomish,256728,166428,438796,2020,pres,WA
Spokane,135765,148576,295430,2020,pres,WA
Stevens,7839,19808,28430,2020,pres,WA
Thurston,96608,65277,168134,2020,pres,WA
Wahkiakum,1165,1741,2981,2020,pres,WA
Walla Walla,13690,16400,31261,2020,pres,WA
Whatcom,83660,50489,138620,2020,pres,WA
Whitman,11184,9067,21126,2020,pres,WA
Yakima,43179,50555,96193,2020,pres,WA
Adams,1333,3204,4537,2022,sen,WA
Asotin,3124,6001,9125,2022,sen,WA
Benton,28452,49496,77948,2022,sen,WA
Chelan,14223,18650,32873,2022,sen,WA
Clallam,18172,18910,37082,2022,sen,WA
Clark,103148,103561,206709,2022,sen,WA
Columbia,491,1438,1929,2022,sen,WA
Cowlitz,17596,28226,45822,2022,sen,WA
Douglas,5742,10622,16364,2022,sen,WA
Ferry,1092,2272,3364,2022,sen,WA
Franklin,9806,14791,24597,2022,sen,WA
Garfield,269,877,1146,2022,sen,WA
Grant,8688,20305,28993,2022,sen,WA
Grays Harbor,12756,16298,29054,2022,sen,WA
Island,21474,18650,40124,2022,sen,WA
Jefferson,12646,5683,18329,2022,sen,WA
King,666935,220701,887636,2022,sen,WA
Kitsap,66360,50478,116838,2022,sen,WA
Kittitas,8395,11565,19960,2022,sen,WA
Klickitat,4380,5934,10314,2022,sen,WA
Lewis,10673,24099,34772,2022,sen,WA
Lincoln,1259,4223,5482,2022,sen,WA
Mason,12694,15341,28035,2022,sen,WA
Okanogan,6542,9708,16250,2022,sen,WA
Pacific,4994,5701,10695,2022,sen,WA
Pend Oreille,1906,4697,6603,2022,sen,WA
Pierce,183404,162127,345531,2022,sen,WA
San Juan,7149,2507,9656,2022,sen,WA
Skagit,28118,26863,54981,2022,sen,WA
Skamania,2346,3185,5531,2022,sen,WA
Snohomish,188713,136461,325174,2022,sen,WA
Spokane,99797,121824,221621,2022,sen,WA
Stevens,5762,16241,22003,2022,sen,WA
Thurston,71013,53523,124536,2022,sen,WA
Wahkiakum,856,1428,2284,2022,sen,WA
Walla Walla,10063,13447,23510,2022,sen,WA
Whatcom,61496,41398,102894,2022,sen,WA
Whitman,8221,7434,15655,2022,sen,WA
Yakima,31740,41452,73192,2022,sen,WA
Adams,1455,3767,5345,2024,pres,WA
Asotin,4082,7004,11396,2024,pres,WA
Benton,37662,59555,99947,2024,pres,WA
Chelan,18397,22363,41893,2024,pres,WA
Clallam,25440,21632,48390,2024,pres,WA
Clark,143206,123998,274795,2024,pres,WA
Columbia,661,1737,2476,2024,pres,WA
Cowlitz,22825,34580,59020,2024,pres,WA
Douglas,7410,13095,21069,2024,pres,WA
Ferry,1315,2667,4096,2024,pres,WA
Franklin,11884,19086,31739,2024,pres,WA
Garfield,330,973,1343,2024,pres,WA
Grant,10806,24326,36069,2024,pres,WA
Grays Harbor,17161,19432,37638,2024,pres,WA
Island,29595,20967,52075,2024,pres,WA
Jefferson,17459,6324,24572,2024,pres,WA
King,832606,252193,1122881,2024,pres,WA
Kitsap,91731,59080,155893,2024,pres,WA
Kittitas,10810,14645,26309,2024,pres,WA
Klickitat,5917,7178,13527,2024,pres,WA
Lewis,14433,29322,45112,2024,pres,WA
Lincoln,1678,5272,7107,2024,pres,WA
Mason,17215,18127,36502,2024,pres,WA
Okanogan,8466,11555,20617,2024,pres,WA
Pacific,6825,7010,14178,2024,pres,WA
Pend Oreille,2461,5826,8497,2024,pres,WA
Pierce,235169,188194,436685,2024,pres,WA
San Juan,9539,2890,12939,2024,pres,WA
Skagit,36956,30765,69837,2024,pres,WA
Skamania,3147,3961,7314,2024,pres,WA
Snohomish,240099,161371,415327,2024,pres,WA
Spokane,131163,145338,284958,2024,pres,WA
Stevens,7492,19895,28095,2024,pres,WA
Thurston,95663,62282,163637,2024,pres,WA
Wahkiakum,1204,1757,3053,2024,pres,WA
Walla Walla,13106,15476,29373,2024,pres,WA
Whatcom,83295,49213,137006,2024,pres,WA
Whitman,10480,8699,19845,2024,pres,WA
Yakima,36706,49368,88280,2024,pres,WA
