specification,original_coef,original_se,original_counties,replicated_coef,replicated_se,replicated_n_obs,replicated_counties,difference
dem_turnout_col1,0.007,0.003,87,0.007236402277974064,0.0032765704346920097,986,87,0.00023640227797406405
dem_turnout_col2,0.001,0.001,87,0.001150827161835322,0.001564193143864878,986,87,0.00015082716183532192
dem_turnout_col3,0.001,0.001,87,0.007236402277974112,0.003109459186571307,986,87,0.006236402277974112
dem_voteshare_col4,0.028,0.011,126,0.02846535113199842,0.011679881853009097,1998,126,0.0004653511319984184
dem_voteshare_col5,0.011,0.004,126,0.010860313490371391,0.0040400570991193,1998,126,-0.0001396865096286084
dem_voteshare_col6,0.007,0.003,126,0.028465351131998298,0.011261998120087555,1998,126,0.0214653511319983
turnout_col1,0.021,0.009,126,0.021206610439670665,0.009860009840374355,1240,126,0.0002066104396706639
turnout_col2,0.022,0.007,126,0.021501318187115943,0.007338626195429339,1240,126,-0.000498681812884056
turnout_col3,0.021,0.008,126,0.021206610439670794,0.009263225070429742,1240,126,0.00020661043967079226
vbm_col4,0.186,0.027,58,0.1860381403934035,0.027879001533210362,580,58,3.8140393403496287e-05
vbm_col5,0.157,0.035,58,0.1574533620117571,0.03681976452889566,580,58,0.000453362011757108
vbm_col6,0.136,0.085,58,0.18603814039340433,0.02646830580580172,580,58,0.05003814039340432
