state,county,year,prim_or_gen,treat,vca18,vca20,vca_eligible18,vca_eligible20,all_mail2006,ut_all_mail_year,switch_year,registered,ballots_cast,eligible,cvap,vbm_share,turnout_share,turnout_of_reg,dem_share_gov,dem_share_pres,dem_share_sen,share_votes_dem,share_votes_rep,county_id,state_year_id,pres,prim
CA,Alameda,1998,general,0,0.0,0.0,0.0,1.0,,,,714134.0,397047.0,956701.0,896920.0,0.19162971,0.4451244,0.5559839,0.76494545,,,0.63319427,0.17910324,1,1,0,0
CA,Alameda,2000,general,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,0.7419142127037048,,0.615645,0.1710544,1,2,1,0
CA,Alameda,2002,general,0,0.0,0.0,0.0,1.0,,,,662339.0,346434.0,955139.0,,0.21160452,0.38413754,0.5230464,0.73874825,,,0.62179816,0.17333555,1,3,0,0
CA,Alameda,2004,general,0,0.0,0.0,0.0,1.0,,,,742258.0,567915.0,955460.0,,0.365479,0.6263001,0.76511806,,0.7634834051132202,,0.6020465,0.15194906,1,4,1,0
CA,Alameda,2006,general,0,0.0,0.0,0.0,1.0,,,,678765.0,415638.0,962114.0,,0.5121404,0.45589003,0.6123445,0.60713464,,,0.6146564,0.15651686,1,5,0,0
CA,Alameda,2008,general,0,0.0,0.0,0.0,1.0,,,,803009.0,628545.0,987688.0,,0.48334965,0.6857087,0.7827372,,0.8035770058631897,,0.5999034,0.13471746,1,6,1,0
CA,Alameda,2010,general,0,0.0,0.0,0.0,1.0,,,,765885.0,468483.0,1006632.0,937530.0,0.54111886,0.4996992,0.61168844,0.76595736,,,0.6084111,0.14540163,1,7,0,0
CA,Alameda,2012,general,0,0.0,0.0,0.0,1.0,,,,810836.0,602479.0,1004357.0,970755.0,0.5534616,0.6206293,0.74303436,,0.8127905130386353,,0.60467654,0.12840633,1,8,1,0
CA,Alameda,2014,general,0,0.0,0.0,0.0,1.0,,,,814009.0,366599.0,1036648.0,1005255.0,0.6207955,0.36468259,0.45036235,0.8217055,,,0.6162622,0.13989928,1,9,0,0
CA,Alameda,2016,general,0,0.0,0.0,0.0,1.0,,,,888664.0,670245.0,1069959.0,1040380.0,0.66391844,0.64423096,0.75421643,,0.8429475426673889,,0.59712166,0.11618918,1,10,1,0
CA,Alameda,2018,general,0,0.0,0.0,0.0,1.0,,,,881491.0,587501.0,1089154.0,1069835.0,0.7285111,0.54915106,0.66648555,0.8055204,,,0.60148245,0.11404829,1,11,0,0
CA,Alameda,2020,gen,0,,,,,,,,,,,,,,,,0.8192111601553381,,,,1,37,1,0
CA,Alameda,2022,gen,1,,,,,,,,,,,,,,,,,,,,1,38,0,0
CA,Alameda,2024,gen,1,,,,,,,,,,,,,,,,,,,,1,39,1,0
CA,Alpine,1998,general,0,0.0,0.0,0.0,1.0,,,,805.0,585.0,979.0,920.0,1.0,0.6208726,0.72670805,0.53571427,,,0.5285714,0.21428572,2,1,0,0
CA,Alpine,2000,general,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,0.4853479862213135,,0.46349207,0.30476192,2,2,1,0
CA,Alpine,2002,general,0,0.0,0.0,0.0,1.0,,,,828.0,582.0,915.0,,1.0,0.6482673,0.70289856,0.48109242,,,0.4703833,0.29616725,2,3,0,0
CA,Alpine,2004,general,0,0.0,0.0,0.0,1.0,,,,827.0,714.0,965.0,,1.0,0.81548226,0.86336154,,0.5453216433525085,,0.44951922,0.29567307,2,4,1,0
CA,Alpine,2006,general,0,0.0,0.0,0.0,1.0,,,,775.0,556.0,930.0,,1.0,0.6515625,0.7174193,0.42495126,,,0.45179063,0.3030303,2,5,0,0
CA,Alpine,2008,general,0,0.0,0.0,0.0,1.0,,,,816.0,697.0,901.0,,1.0,0.8386364,0.8541667,,0.6261127591133118,,0.4476386,0.28336754,2,6,1,0
CA,Alpine,2010,general,0,0.0,0.0,0.0,1.0,,,,733.0,566.0,893.0,835.0,1.0,0.6778443,0.7721692,0.58318096,,,0.46296296,0.27314815,2,7,0,0
CA,Alpine,2012,general,0,0.0,0.0,0.0,1.0,,,,773.0,656.0,869.0,900.0,1.0,0.72888887,0.84864163,,0.6223999857902527,,0.45124283,0.2715105,2,8,1,0
CA,Alpine,2014,general,0,0.0,0.0,0.0,1.0,,,,764.0,468.0,878.0,950.0,1.0,0.49263158,0.61256546,0.6187364,,,0.45112783,0.30827066,2,9,0,0
CA,Alpine,2016,general,0,0.0,0.0,0.0,1.0,,,,722.0,621.0,951.0,895.0,1.0,0.69385475,0.8601108,,0.6061705946922302,,0.44620812,0.27689594,2,10,1,0
CA,Alpine,2018,general,0,0.0,0.0,0.0,1.0,,,,758.0,626.0,939.0,895.0,1.0,0.6994413,0.8258575,0.6276423,,,0.4463668,0.26643598,2,11,0,0
CA,Alpine,2020,gen,0,,,,,,,,,,,,,,,,0.6611111111111111,,,,2,37,1,0
CA,Alpine,2022,gen,0,,,,,,,,,,,,,,,,,,,,2,38,0,0
CA,Alpine,2024,gen,0,,,,,,,,,,,,,,,,,,,,2,39,1,0
CA,Amador,1998,general,0,0.0,1.0,0.0,1.0,,,,18369.0,13651.0,22455.0,27430.0,0.29543623,0.5096404,0.7431542,0.505194,,,0.33200055,0.49096924,3,1,0,0
CA,Amador,2000,general,0,0.0,1.0,0.0,1.0,,,,,,,,,,,,0.40253543853759766,,0.321756,0.49617085,3,2,1,0
CA,Amador,2002,general,0,0.0,1.0,0.0,1.0,,,,19129.0,13472.0,24968.0,,0.34887174,0.479867,0.704271,0.38805318,,,0.3231766,0.5050384,3,3,0,0
CA,Amador,2004,general,0,0.0,1.0,0.0,1.0,,,,20475.0,18088.0,25240.0,,0.4050752,0.6298294,0.8834188,,0.370636910200119,,0.31101716,0.48649284,3,4,1,0
CA,Amador,2006,general,0,0.0,1.0,0.0,1.0,,,,20119.0,15217.0,26061.0,,0.48590392,0.51823133,0.75634974,0.23772061,,,0.3219586,0.4901804,3,5,0,0
CA,Amador,2008,general,0,0.0,1.0,0.0,1.0,,,,21462.0,19006.0,25879.0,,0.51836264,0.63336915,0.88556516,,0.42522042989730835,,0.31263638,0.47358328,3,6,1,0
CA,Amador,2010,general,0,0.0,1.0,0.0,1.0,,,,21354.0,16566.0,26094.0,30500.0,0.585597,0.54314756,0.7757797,0.44230393,,,0.30765343,0.4825993,3,7,0,0
CA,Amador,2012,general,0,0.0,1.0,0.0,1.0,,,,21503.0,17886.0,27395.0,30475.0,0.6118193,0.5869073,0.8317909,,0.39915844798088074,,0.3078486,0.47148845,3,8,1,0
CA,Amador,2014,general,0,0.0,1.0,0.0,1.0,,,,20798.0,13083.0,26593.0,30145.0,0.6529848,0.4340023,0.62905085,0.44554222,,,0.31480858,0.4873503,3,9,0,0
CA,Amador,2016,general,0,0.0,1.0,0.0,1.0,,,,22417.0,18289.0,27553.0,30240.0,0.6783859,0.604795,0.815854,,0.36412152647972107,,0.2968178,0.46724865,3,10,1,0
CA,Amador,2018,general,0,0.0,1.0,0.0,1.0,,,,22305.0,17784.0,27117.0,31115.0,0.71935445,0.5715571,0.79731,0.354516,,,0.30297926,0.46106046,3,11,0,0
CA,Amador,2020,gen,1,,,,,,,,,,,,,,,,0.3750575029901555,,,,3,37,1,0
CA,Amador,2022,gen,1,,,,,,,,,,,,,,,,,,,,3,38,0,0
CA,Amador,2024,gen,1,,,,,,,,,,,,,,,,,,,,3,39,1,0
CA,Butte,1998,general,0,0.0,1.0,0.0,1.0,,,,121326.0,66217.0,147426.0,146805.0,0.29524142,0.4619594,0.5457775,0.4798652,,,0.35580483,0.4799245,4,1,0,0
CA,Butte,2000,general,0,0.0,1.0,0.0,1.0,,,,,,,,,,,,0.4073997139930725,,0.35107183,0.46209076,4,2,1,0
CA,Butte,2002,general,0,0.0,1.0,0.0,1.0,,,,113988.0,62511.0,149948.0,,0.29671577,0.41598967,0.5483998,0.37276337,,,0.3496971,0.48084933,4,3,0,0
CA,Butte,2004,general,0,0.0,1.0,0.0,1.0,,,,123318.0,96967.0,154305.0,,0.41442966,0.63073665,0.7863167,,0.4510466456413269,,0.3517789,0.434813,4,4,1,0
CA,Butte,2006,general,0,0.0,1.0,0.0,1.0,,,,115659.0,70298.0,157429.0,,0.5092037,0.44718355,0.607804,0.29055598,,,0.35843673,0.44952592,4,5,0,0
CA,Butte,2008,general,0,0.0,1.0,0.0,1.0,,,,122841.0,99392.0,159670.0,,0.4943758,0.6186203,0.80911094,,0.5120509266853333,,0.3591844,0.41080004,4,6,1,0
CA,Butte,2010,general,0,0.0,1.0,0.0,1.0,,,,115737.0,77434.0,160298.0,163320.0,0.5700726,0.47412443,0.6690514,0.46611038,,,0.35427392,0.43312764,4,7,0,0
CA,Butte,2012,general,0,0.0,1.0,0.0,1.0,,,,122554.0,91722.0,166679.0,165830.0,0.6190227,0.55310863,0.74842113,,0.48961538076400757,,0.35975122,0.40613645,4,8,1,0
CA,Butte,2014,general,0,0.0,1.0,0.0,1.0,,,,117503.0,63489.0,167802.0,168430.0,0.7222983,0.3769459,0.54031813,0.47790962,,,0.34798333,0.4396424,4,9,0,0
CA,Butte,2016,general,0,0.0,1.0,0.0,1.0,,,,129275.0,98879.0,169048.0,170635.0,0.6982676,0.57947665,0.7648733,,0.4793740212917328,,0.36175826,0.3815341,4,10,1,0
CA,Butte,2018,general,0,0.0,1.0,0.0,1.0,,,,122741.0,90118.0,171771.0,173840.0,0.73960805,0.5183962,0.7342127,0.46773213,,,0.3719577,0.37429047,4,11,0,0
CA,Butte,2020,gen,1,,,,,,,,,,,,,,,,0.508552180402598,,,,4,37,1,0
CA,Butte,2022,gen,1,,,,,,,,,,,,,,,,,,,,4,38,0,0
CA,Butte,2024,gen,1,,,,,,,,,,,,,,,,,,,,4,39,1,0
CA,Calaveras,1998,general,0,0.0,1.0,1.0,1.0,,,,23647.0,16365.0,30271.0,30920.0,0.36455852,0.551464,0.692054,0.4744648,,,0.34375,0.41054687,5,1,0,0
CA,Calaveras,2000,general,0,0.0,1.0,1.0,1.0,,,,,,,,,,,,0.4009156823158264,,0.32199237,0.40990746,5,2,1,0
CA,Calaveras,2002,general,0,0.0,1.0,1.0,1.0,,,,24971.0,15553.0,32167.0,,0.3799267,0.48354635,0.6228425,0.3840073,,,0.31426105,0.47975817,5,3,0,0
CA,Calaveras,2004,general,0,0.0,1.0,1.0,1.0,,,,27332.0,22521.0,33381.0,,0.46836287,0.674102,0.8239792,,0.37858089804649353,,0.30248833,0.45787972,5,4,1,0
CA,Calaveras,2006,general,0,0.0,1.0,1.0,1.0,,,,27048.0,18321.0,35186.0,,0.57889855,0.52869374,0.67735136,0.25166577,,,0.30683446,0.4690679,5,5,0,0
CA,Calaveras,2008,general,0,0.0,1.0,1.0,1.0,,,,28388.0,23588.0,35290.0,,0.5852552,0.65708804,0.8309145,,0.4332832992076874,,0.30244064,0.44728452,5,6,1,0
CA,Calaveras,2010,general,0,0.0,1.0,1.0,1.0,,,,28740.0,20117.0,34881.0,35945.0,0.6285231,0.5596606,0.6999652,0.42067203,,,0.2995884,0.4616377,5,7,0,0
CA,Calaveras,2012,general,0,0.0,1.0,1.0,1.0,,,,29014.0,22077.0,35672.0,35920.0,0.67051685,0.6146158,0.76090854,,0.4121702015399933,,0.29519415,0.45337364,5,8,1,0
CA,Calaveras,2014,general,0,0.0,1.0,1.0,1.0,,,,27068.0,16101.0,35473.0,35490.0,0.70610523,0.4536771,0.5948352,0.43727323,,,0.29875812,0.47106972,5,9,0,0
CA,Calaveras,2016,general,0,0.0,1.0,1.0,1.0,,,,29555.0,23975.0,36098.0,35475.0,0.7021481,0.67582804,0.8111995,,0.37026333808898926,,0.28695253,0.44338456,5,10,1,0
CA,Calaveras,2018,general,0,0.0,1.0,1.0,1.0,,,,29591.0,21927.0,36101.0,36165.0,0.7495781,0.60630447,0.7410023,0.3593244,,,0.28669104,0.44817436,5,11,0,0
CA,Calaveras,2020,gen,1,,,,,,,,,,,,,,,,0.37818099683782563,,,,5,37,1,0
CA,Calaveras,2022,gen,1,,,,,,,,,,,,,,,,,,,,5,38,0,0
CA,Calaveras,2024,gen,1,,,,,,,,,,,,,,,,,,,,5,39,1,0
