county,vca_first_year,source,verified,notes
Madera,2018,CA SOS,Yes,Original 5 VCA counties
Napa,2018,CA SOS,Yes,Original 5 VCA counties
Nevada,2018,CA SOS,Yes,Original 5 VCA counties
Sacramento,2018,CA SOS,Yes,Original 5 VCA counties
San Mateo,2018,CA SOS,Yes,Original 5 VCA counties
Amador,2020,CA SOS,Yes,2020 expansion
Butte,2020,CA SOS,Yes,2020 expansion
Calaveras,2020,CA SOS,Yes,2020 expansion
El Dorado,2020,CA SOS,Yes,2020 expansion
Fresno,2020,CA SOS,Yes,2020 expansion
Los Angeles,2020,CA SOS,Yes,2020 expansion - largest county
Mariposa,2020,CA SOS,Yes,2020 expansion
Orange,2020,CA SOS,Yes,2020 expansion - 2nd largest county
Santa Clara,2020,CA SOS,Yes,2020 expansion
Tuolumne,2020,CA SOS,Yes,2020 expansion
Alameda,2022,CA SOS/LWVC,Yes,2022 expansion
Kings,2022,CA SOS,Yes,2022 expansion - June 2022 primary
Marin,2022,CA SOS/LWVC,Yes,2022 expansion
Merced,2022,CA SOS/LWVC,Yes,2022 expansion
Riverside,2022,CA SOS/LWVC,Yes,2022 expansion
San Benito,2022,CA SOS/LWVC,Yes,2022 expansion
San Diego,2022,CA SOS/LWVC,Yes,2022 expansion
Santa Cruz,2022,CA SOS/LWVC,Yes,2022 expansion
Sonoma,2022,CA SOS/LWVC,Yes,2022 expansion
Stanislaus,2022,CA SOS/LWVC,Yes,2022 expansion
Ventura,2022,CA SOS/LWVC,Yes,2022 expansion
Yolo,2022,CA SOS/LWVC,Yes,2022 expansion
Humboldt,2024,CA SOS/PPIC,Yes,2024 expansion - March 2024 primary
Placer,2024,CA SOS/PPIC,Yes,2024 expansion - March 2024 primary
Imperial,2024,CA SOS,Uncertain,Listed on SOS site but PPIC says only Humboldt and Placer in 2024
