county,vca_first_year,state,source
Madera,2018,CA,CA Secretary of State
Napa,2018,CA,CA Secretary of State
Nevada,2018,CA,CA Secretary of State
Sacramento,2018,CA,CA Secretary of State
San Mateo,2018,CA,CA Secretary of State
Amador,2020,CA,CA Secretary of State
Butte,2020,CA,CA Secretary of State
Calaveras,2020,CA,CA Secretary of State
El Dorado,2020,CA,CA Secretary of State
Fresno,2020,CA,CA Secretary of State
Los Angeles,2020,CA,CA Secretary of State
Mariposa,2020,CA,CA Secretary of State
Orange,2020,CA,CA Secretary of State
Santa Clara,2020,CA,CA Secretary of State
Tuolumne,2020,CA,CA Secretary of State
Alameda,2022,CA,CA Secretary of State
Kings,2022,CA,CA Secretary of State
Marin,2022,CA,CA Secretary of State
Merced,2022,CA,CA Secretary of State
Riverside,2022,CA,CA Secretary of State
San Benito,2022,CA,CA Secretary of State
San Diego,2022,CA,CA Secretary of State
Santa Cruz,2022,CA,CA Secretary of State
Sonoma,2022,CA,CA Secretary of State
Stanislaus,2022,CA,CA Secretary of State
Ventura,2022,CA,CA Secretary of State
Yolo,2022,CA,CA Secretary of State
Humboldt,2024,CA,CA Secretary of State
Placer,2024,CA,CA Secretary of State
