state,county,dem_votes,rep_votes,total_votes,year,office
CA,Alameda,617659,136309,769864,2020,president
CA,Alpine,476,244,741,2020,president
CA,Amador,8153,13585,22302,2020,president
CA,Butte,50426,48730,102042,2020,president
CA,Calaveras,10046,16518,27164,2020,president
CA,Colusa,3234,4554,7951,2020,president
CA,Contra Costa,416386,152877,581230,2020,president
CA,Del Norte,4677,6461,11452,2020,president
CA,El Dorado,51621,61838,116138,2020,president
CA,Fresno,193025,164464,364809,2020,president
CA,Glenn,3995,7063,11292,2020,president
CA,Humboldt,44768,21770,68828,2020,president
CA,Imperial,34678,20847,56718,2020,president
CA,Inyo,4634,4620,9481,2020,president
CA,Kern,133366,164484,305226,2020,president
CA,Kings,18699,24072,43858,2020,president
CA,Lake,14941,13123,28800,2020,president
CA,Lassen,2799,8970,11985,2020,president
CA,Los Angeles,3028885,1145530,4263443,2020,president
CA,Madera,23168,29378,53722,2020,president
CA,Marin,128288,24612,155801,2020,president
CA,Mariposa,4088,5950,10280,2020,president
CA,Mendocino,28782,13267,43336,2020,president
CA,Merced,48991,39397,90541,2020,president
CA,Modoc,1150,3109,4338,2020,president
CA,Mono,4013,2513,6737,2020,president
CA,Monterey,113953,46299,163883,2020,president
CA,Napa,49817,20676,72122,2020,president
CA,Nevada,36359,26779,64738,2020,president
CA,Orange,814009,676498,1521725,2020,president
CA,Placer,106869,122488,235017,2020,president
CA,Plumas,4561,6445,11256,2020,president
CA,Riverside,527945,448702,996156,2020,president
CA,Sacramento,440808,259405,718290,2020,president
CA,San Benito,17628,10590,28821,2020,president
CA,San Bernardino,455859,366257,840931,2020,president
CA,San Diego,964650,600094,1601722,2020,president
CA,San Francisco,378156,56417,443458,2020,president
CA,San Joaquin,161137,121098,288443,2020,president
CA,San Luis Obispo,88310,67436,159681,2020,president
CA,San Mateo,291410,75563,374138,2020,president
CA,Santa Barbara,129963,65736,200288,2020,president
CA,Santa Clara,617967,214612,850522,2020,president
CA,Santa Cruz,114246,26937,144796,2020,president
CA,Shasta,30000,60789,92900,2020,president
CA,Sierra,730,1142,1930,2020,president
CA,Siskiyou,9593,13290,23450,2020,president
CA,Solano,131639,69306,205831,2020,president
CA,Sonoma,199938,61825,268252,2020,president
CA,Stanislaus,105841,104145,214876,2020,president
CA,Sutter,17367,24375,42640,2020,president
CA,Tehama,8911,19141,28721,2020,president
CA,Trinity,2851,3188,6258,2020,president
CA,Tulare,66105,77579,146832,2020,president
CA,Tuolumne,11978,17689,30401,2020,president
CA,Ventura,251388,162207,422698,2020,president
CA,Yolo,67598,27292,97264,2020,president
CA,Yuba,11230,17676,29787,2020,president
UT,Beaver,357,2695,3100,2020,president
UT,Box Elder,4473,21548,27027,2020,president
UT,Cache,16650,38032,57571,2020,president
UT,Carbon,2392,6693,9369,2020,president
UT,Daggett,111,496,619,2020,president
UT,Davis,57411,104135,169895,2020,president
UT,Duchesne,843,7513,8524,2020,president
UT,Emery,572,4207,4865,2020,president
UT,Garfield,514,2158,2732,2020,president
UT,Grand,2806,2248,5185,2020,president
UT,Iron,4892,18989,24890,2020,president
UT,Juab,645,5087,5866,2020,president
UT,Kane,1083,2998,4180,2020,president
UT,Millard,624,5404,6160,2020,president
