state,county,year,office,dem_votes,rep_votes,total_votes,data_status
CA,Alameda,2024,president,,,,placeholder
CA,Alpine,2024,president,,,,placeholder
CA,Amador,2024,president,,,,placeholder
CA,Butte,2024,president,,,,placeholder
CA,Calaveras,2024,president,,,,placeholder
CA,Colusa,2024,president,,,,placeholder
CA,Contra Costa,2024,president,,,,placeholder
CA,Del Norte,2024,president,,,,placeholder
CA,El Dorado,2024,president,,,,placeholder
CA,Fresno,2024,president,,,,placeholder
CA,Glenn,2024,president,,,,placeholder
CA,Humboldt,2024,president,,,,placeholder
CA,Imperial,2024,president,,,,placeholder
CA,Inyo,2024,president,,,,placeholder
CA,Kern,2024,president,,,,placeholder
CA,Kings,2024,president,,,,placeholder
CA,Lake,2024,president,,,,placeholder
CA,Lassen,2024,president,,,,placeholder
CA,Los Angeles,2024,president,,,,placeholder
CA,Madera,2024,president,,,,placeholder
CA,Marin,2024,president,,,,placeholder
CA,Mariposa,2024,president,,,,placeholder
CA,Mendocino,2024,president,,,,placeholder
CA,Merced,2024,president,,,,placeholder
CA,Modoc,2024,president,,,,placeholder
CA,Mono,2024,president,,,,placeholder
CA,Monterey,2024,president,,,,placeholder
CA,Napa,2024,president,,,,placeholder
CA,Nevada,2024,president,,,,placeholder
CA,Orange,2024,president,,,,placeholder
CA,Placer,2024,president,,,,placeholder
CA,Plumas,2024,president,,,,placeholder
CA,Riverside,2024,president,,,,placeholder
CA,Sacramento,2024,president,,,,placeholder
CA,San Benito,2024,president,,,,placeholder
CA,San Bernardino,2024,president,,,,placeholder
CA,San Diego,2024,president,,,,placeholder
CA,San Francisco,2024,president,,,,placeholder
CA,San Joaquin,2024,president,,,,placeholder
CA,San Luis Obispo,2024,president,,,,placeholder
CA,San Mateo,2024,president,,,,placeholder
CA,Santa Barbara,2024,president,,,,placeholder
CA,Santa Clara,2024,president,,,,placeholder
CA,Santa Cruz,2024,president,,,,placeholder
CA,Shasta,2024,president,,,,placeholder
CA,Sierra,2024,president,,,,placeholder
CA,Siskiyou,2024,president,,,,placeholder
CA,Solano,2024,president,,,,placeholder
CA,Sonoma,2024,president,,,,placeholder
CA,Stanislaus,2024,president,,,,placeholder
CA,Sutter,2024,president,,,,placeholder
CA,Tehama,2024,president,,,,placeholder
CA,Trinity,2024,president,,,,placeholder
CA,Tulare,2024,president,,,,placeholder
CA,Tuolumne,2024,president,,,,placeholder
CA,Ventura,2024,president,,,,placeholder
CA,Yolo,2024,president,,,,placeholder
CA,Yuba,2024,president,,,,placeholder
UT,Beaver,2024,president,,,,placeholder
UT,Box Elder,2024,president,,,,placeholder
UT,Cache,2024,president,,,,placeholder
UT,Carbon,2024,president,,,,placeholder
UT,Daggett,2024,president,,,,placeholder
UT,Davis,2024,president,,,,placeholder
UT,Duchesne,2024,president,,,,placeholder
UT,Emery,2024,president,,,,placeholder
UT,Garfield,2024,president,,,,placeholder
UT,Grand,2024,president,,,,placeholder
UT,Iron,2024,president,,,,placeholder
UT,Juab,2024,president,,,,placeholder
UT,Kane,2024,president,,,,placeholder
UT,Millard,2024,president,,,,placeholder
UT,Morgan,2024,president,,,,placeholder
UT,Piute,2024,president,,,,placeholder
UT,Rich,2024,president,,,,placeholder
UT,Salt Lake,2024,president,,,,placeholder
UT,San Juan,2024,president,,,,placeholder
UT,Sanpete,2024,president,,,,placeholder
UT,Sevier,2024,president,,,,placeholder
UT,Summit,2024,president,,,,placeholder
UT,Tooele,2024,president,,,,placeholder
UT,Uintah,2024,president,,,,placeholder
UT,Utah,2024,president,,,,placeholder
UT,Wasatch,2024,president,,,,placeholder
UT,Washington,2024,president,,,,placeholder
UT,Wayne,2024,president,,,,placeholder
UT,Weber,2024,president,,,,placeholder
WA,Adams,2024,president,,,,placeholder
WA,Asotin,2024,president,,,,placeholder
WA,Benton,2024,president,,,,placeholder
WA,Chelan,2024,president,,,,placeholder
WA,Clallam,2024,president,,,,placeholder
WA,Clark,2024,president,,,,placeholder
WA,Columbia,2024,president,,,,placeholder
WA,Cowlitz,2024,president,,,,placeholder
WA,Douglas,2024,president,,,,placeholder
WA,Ferry,2024,president,,,,placeholder
WA,Franklin,2024,president,,,,placeholder
WA,Garfield,2024,president,,,,placeholder
WA,Grant,2024,president,,,,placeholder
WA,Grays Harbor,2024,president,,,,placeholder
WA,Island,2024,president,,,,placeholder
WA,Jefferson,2024,president,,,,placeholder
WA,King,2024,president,,,,placeholder
WA,Kitsap,2024,president,,,,placeholder
WA,Kittitas,2024,president,,,,placeholder
WA,Klickitat,2024,president,,,,placeholder
WA,Lewis,2024,president,,,,placeholder
WA,Lincoln,2024,president,,,,placeholder
WA,Mason,2024,president,,,,placeholder
WA,Okanogan,2024,president,,,,placeholder
WA,Pacific,2024,president,,,,placeholder
WA,Pend Oreille,2024,president,,,,placeholder
WA,Pierce,2024,president,,,,placeholder
WA,San Juan,2024,president,,,,placeholder
WA,Skagit,2024,president,,,,placeholder
WA,Skamania,2024,president,,,,placeholder
WA,Snohomish,2024,president,,,,placeholder
WA,Spokane,2024,president,,,,placeholder
WA,Stevens,2024,president,,,,placeholder
WA,Thurston,2024,president,,,,placeholder
WA,Wahkiakum,2024,president,,,,placeholder
WA,Walla Walla,2024,president,,,,placeholder
WA,Whatcom,2024,president,,,,placeholder
WA,Whitman,2024,president,,,,placeholder
WA,Yakima,2024,president,,,,placeholder
