county,dem_votes,rep_votes,total_votes,state,year,office
Alameda,617659,136309,769832,CA,2020,president
Alpine,404,559,1012,CA,2020,president
Amador,7736,15508,24209,CA,2020,president
Butte,41289,52983,98166,CA,2020,president
Calaveras,9227,15805,26105,CA,2020,president
Colusa,2693,4989,8019,CA,2020,president
Contra Costa,378317,127621,524058,CA,2020,president
Del Norte,4700,7163,12359,CA,2020,president
El Dorado,42371,58687,105239,CA,2020,president
Fresno,151702,145549,314406,CA,2020,president
Glenn,3476,7386,11308,CA,2020,president
Humboldt,38849,25063,66907,CA,2020,president
Imperial,25171,21653,49555,CA,2020,president
Inyo,3749,5023,9186,CA,2020,president
Kern,93848,164780,274048,CA,2020,president
Kings,17055,22612,41695,CA,2020,president
Lake,12802,12587,26800,CA,2020,president
Lassen,3376,10117,14078,CA,2020,president
Los Angeles,3028885,1145530,4434232,CA,2020,president
Madera,20405,28285,51076,CA,2020,president
Marin,112712,23419,140523,CA,2020,president
Mariposa,3665,5706,9862,CA,2020,president
Mendocino,23553,14908,40451,CA,2020,president
Merced,43287,40663,87887,CA,2020,president
Modoc,1150,3109,4467,CA,2020,president
Mono,3413,2421,6110,CA,2020,president
Monterey,113953,46299,168279,CA,2020,president
Napa,45754,21107,69737,CA,2020,president
Nevada,31660,23739,57810,CA,2020,president
Orange,847427,719349,1626025,CA,2020,president
Placer,90549,105556,204917,CA,2020,president
Plumas,3841,5982,10288,CA,2020,president
Riverside,394591,432918,875279,CA,2020,president
Sacramento,401714,256755,689973,CA,2020,president
San Benito,14399,12654,28276,CA,2020,president
San Bernardino,317594,361199,716574,CA,2020,president
San Diego,962527,655815,1694679,CA,2020,president
San Francisco,362995,54013,432445,CA,2020,president
San Joaquin,150247,119653,282753,CA,2020,president
San Luis Obispo,72714,53063,131697,CA,2020,president
San Mateo,280737,82505,378036,CA,2020,president
Santa Barbara,121428,70582,200809,CA,2020,president
Santa Clara,600735,224890,865055,CA,2020,president
Santa Cruz,102287,32604,140153,CA,2020,president
Shasta,23015,52853,79631,CA,2020,president
Sierra,494,1180,1759,CA,2020,president
Siskiyou,9593,13290,23996,CA,2020,president
Solano,110653,68023,186235,CA,2020,president
Sonoma,199938,61825,271689,CA,2020,president
Stanislaus,105841,104145,219149,CA,2020,president
Sutter,14270,22063,38111,CA,2020,president
Tehama,7454,18100,26637,CA,2020,president
Trinity,2420,4153,6885,CA,2020,president
Tulare,47977,74927,128752,CA,2020,president
Tuolumne,10673,14336,26196,CA,2020,president
Ventura,234376,162892,413929,CA,2020,president
Yolo,64316,27389,95266,CA,2020,president
Yuba,10770,14846,26855,CA,2020,president
Alameda,398813,87456,501589,CA,2022,governor
Alpine,295,440,773,CA,2022,governor
Amador,5574,12211,18624,CA,2022,governor
Butte,30614,42051,76424,CA,2022,governor
Calaveras,6831,13092,20943,CA,2022,governor
Colusa,1893,4253,6488,CA,2022,governor
Contra Costa,256908,89579,360704,CA,2022,governor
Del Norte,3442,5906,9784,CA,2022,governor
El Dorado,30821,48219,82892,CA,2022,governor
Fresno,105583,115048,232303,CA,2022,governor
Glenn,2464,6359,9226,CA,2022,governor
Humboldt,28654,19481,50564,CA,2022,governor
Imperial,17988,18006,37813,CA,2022,governor
Inyo,2789,4266,7398,CA,2022,governor
Kern,64445,137455,212193,CA,2022,governor
Kings,12028,18826,32462,CA,2022,governor
Lake,9414,10179,20597,CA,2022,governor
Lassen,2404,8643,11512,CA,2022,governor
Los Angeles,1946439,796251,2851949,CA,2022,governor
Madera,14704,22774,39255,CA,2022,governor
Marin,85180,17179,106016,CA,2022,governor
Mariposa,2788,4698,7852,CA,2022,governor
Mendocino,17748,11720,30851,CA,2022,governor
Merced,30178,33628,67023,CA,2022,governor
Modoc,798,2783,3744,CA,2022,governor
Mono,2527,1971,4706,CA,2022,governor
Monterey,78826,35750,120092,CA,2022,governor
Napa,33423,15761,51284,CA,2022,governor
Nevada,24031,18976,44920,CA,2022,governor
Orange,522168,504936,1078789,CA,2022,governor
Placer,65877,87183,160259,CA,2022,governor
Plumas,2788,4957,8087,CA,2022,governor
