Outcome,Rel_Time,Coef,SE,CI_Low,CI_High
Dem Vote Share (Pres),-10,0.007057489951451649,0.01699909428223365,-0.026260734841726304,0.0403757147446296
Dem Vote Share (Pres),-8,-0.012132850289344767,0.0161783829240789,-0.0438424808205394,0.019576780241849872
Dem Vote Share (Pres),-6,0.00020999908447265597,0.012172371957541788,-0.023647849952309247,0.02406784812125456
Dem Vote Share (Pres),-4,-0.0418075144290924,0.021430684774296115,-0.08381165658671277,0.00019662772852798577
Dem Vote Share (Pres),0,-0.022884321413614413,0.01926978210456916,-0.06065309433856997,0.014884451511341143
Dem Vote Share (Pres),2,0.028884051124692205,0.014926964575316882,-0.0003727994429288811,0.05814090169231329
Dem Vote Share (Pres),4,0.008806380402971157,0.03018730777284323,-0.05036074283180157,0.06797350363774389
Dem Vote Share (Pres),6,0.06308881241575594,0.03233407743780707,-0.0002859793623459228,0.1264636041938578
Turnout,-10,-0.0020082635354526633,0.015529583339807215,-0.0324462468814748,0.028429719810569475
Turnout,-8,-0.0063922848848846055,0.011764623570445634,-0.029450947082958045,0.016666377313188836
Turnout,-6,0.0006242947711252742,0.009770834954100596,-0.018526541738911894,0.019775131281162445
Turnout,-4,-0.006065800128593639,0.008097946257470637,-0.021937774793236088,0.00980617453604881
Turnout,0,0.005178035291307747,0.01260372454526628,-0.01952526481741416,0.029881335400029654
Turnout,2,-0.004860337201048117,0.020026964852025098,-0.04411318831101731,0.03439251390892108
Turnout,4,-0.0066855026834016056,0.033452531434587936,-0.07225246429519395,0.05888145892839074
Turnout,6,-0.03957406015503477,0.04248174501242239,-0.12283828037938266,0.043690160069313116
