county,dem_votes,rep_votes,total_votes,year,office,state,cvap_approx,dem_voteshare,turnout
Alameda,617659,136309,769864,2020,President,CA,1101930,0.8192111601553381,0.6986505494904395
Alpine,476,244,741,2020,President,CA,922,0.6611111111111111,0.8036876355748374
Amador,8153,13585,22302,2020,President,CA,32048,0.3750575029901555,0.6958936595107339
Butte,50426,48730,102042,2020,President,CA,179055,0.508552180402598,0.5698919326463936
Calaveras,10046,16518,27164,2020,President,CA,37250,0.37818099683782563,0.7292348993288591
Colusa,3234,4554,7951,2020,President,CA,12741,0.4152542372881356,0.6240483478533867
Contra Costa,416386,152877,581230,2020,President,CA,775302,0.731447503175158,0.749682059378152
Del Norte,4677,6461,11452,2020,President,CA,21228,0.4199138085832286,0.5394761635575654
El Dorado,51621,61838,116138,2020,President,CA,145312,0.4549749248627257,0.7992319973574102
Fresno,193025,164464,364809,2020,President,CA,598471,0.539946683674183,0.609568383430442
Glenn,3995,7063,11292,2020,President,CA,17397,0.36127690359920417,0.6490774271426107
Humboldt,44768,21770,68828,2020,President,CA,108562,0.6728185397817789,0.633997162911516
Imperial,34678,20847,56718,2020,President,CA,105699,0.6245475011256191,0.5365992109669911
Inyo,4634,4620,9481,2020,President,CA,14070,0.5007564296520424,0.6738450604122246
Kern,133366,164484,305226,2020,President,CA,531109,0.4477622964579486,0.5746955897941853
Kings,18699,24072,43858,2020,President,CA,95831,0.4371887493862664,0.45765983867433296
Lake,14941,13123,28800,2020,President,CA,49234,0.5323902508551881,0.5849616118942195
Lassen,2799,8970,11985,2020,President,CA,25899,0.23782819270966096,0.4627591798911155
Los Angeles,3028885,1145530,4263443,2020,President,CA,6460546,0.7255831056567208,0.6599199200810582
Madera,23168,29378,53722,2020,President,CA,94034,0.44090891790050624,0.5713039964268244
Marin,128288,24612,155801,2020,President,CA,190081,0.839032047089601,0.8196558309352329
Mariposa,4088,5950,10280,2020,President,CA,14420,0.4072524407252441,0.7128987517337032
Mendocino,28782,13267,43336,2020,President,CA,63597,0.684487145948774,0.6814157900529899
Merced,48991,39397,90541,2020,President,CA,153588,0.5542720731320994,0.5895056905487408
Modoc,1150,3109,4338,2020,President,CA,6937,0.2700164357830477,0.6253423670174427
Mono,4013,2513,6737,2020,President,CA,9991,0.6149249157217285,0.6743068761885697
Monterey,113953,46299,163883,2020,President,CA,237636,0.7110862890946759,0.6896387752697403
Napa,49817,20676,72122,2020,President,CA,97737,0.7066942817017292,0.7379191094467806
Nevada,36359,26779,64738,2020,President,CA,81298,0.5758655643194273,0.7963049521513444
Orange,814009,676498,1521725,2020,President,CA,2103080,0.5461289346510952,0.7235697167963178
Placer,106869,122488,235017,2020,President,CA,289209,0.46595046150760605,0.81261993921351
Plumas,4561,6445,11256,2020,President,CA,15697,0.41441032164274033,0.7170796967573422
Riverside,527945,448702,996156,2020,President,CA,1567804,0.5405689056537316,0.6353829943028593
Sacramento,440808,259405,718290,2020,President,CA,1058376,0.6295341560353778,0.6786718519694324
San Benito,17628,10590,28821,2020,President,CA,38316,0.6247076334254731,0.7521922956467272
San Bernardino,455859,366257,840931,2020,President,CA,1388255,0.5544947428343445,0.6057467828316844
San Diego,964650,600094,1601722,2020,President,CA,2304429,0.6164906208299888,0.6950624211030151
San Francisco,378156,56417,443458,2020,President,CA,665941,0.8701783129646803,0.6659118450433297
San Joaquin,161137,121098,288443,2020,President,CA,462444,0.5709320247311638,0.6237360631773793
San Luis Obispo,88310,67436,159681,2020,President,CA,223525,0.56701295699408,0.7143764679566044
San Mateo,291410,75563,374138,2020,President,CA,513084,0.7940911184201562,0.729194439896781
Santa Barbara,129963,65736,200288,2020,President,CA,290151,0.6640963929299588,0.6902888495990019
Santa Clara,617967,214612,850522,2020,President,CA,1205352,0.7422322686495816,0.7056212625025718
