county,state,year,county_id,state_year_id,treat,year2,share_votes_dem,dem_share_gov,dem_share_pres,dem_share_sen,turnout_share,vbm_share,cvap,period
Alameda,CA,1998,1,1,0,3992004.0,0.63319427,0.7649454474449158,,,0.44512438774108887,0.19162971,896920.0,original
Alameda,CA,2000,1,2,0,4000000.0,0.615645,,0.7419142127037048,,,,,original
Alameda,CA,2002,1,3,0,4008004.0,0.62179816,0.7387482523918152,,,0.3841375410556793,0.21160452,,original
Alameda,CA,2004,1,4,0,4016016.0,0.6020465,,0.7634834051132202,,0.6263000965118408,0.365479,,original
Alameda,CA,2006,1,5,0,4024036.0,0.6146564,0.6071346402168274,,,0.455890029668808,0.5121404,,original
Alameda,CA,2008,1,6,0,4032064.0,0.5999034,,0.8035770058631897,,0.6857087016105652,0.48334965,,original
Alameda,CA,2010,1,7,0,4040100.0,0.6084111,0.7659573554992676,,,0.499699205160141,0.54111886,937530.0,original
Alameda,CA,2012,1,8,0,4048144.0,0.60467654,,0.8127905130386353,,0.6206293106079102,0.5534616,970755.0,original
Alameda,CA,2014,1,9,0,4056196.0,0.6162622,0.8217055201530457,,,0.3646825850009918,0.6207955,1005255.0,original
Alameda,CA,2016,1,10,0,4064256.0,0.59712166,,0.8429475426673889,,0.6442309617996216,0.66391844,1040380.0,original
Alameda,CA,2018,1,11,0,4072324.0,0.60148245,0.8055204153060913,,,0.5491510629653931,0.7285111,1069835.0,original
Alameda,CA,2020,1,37,0,4080400.0,,,0.8192111601553381,,0.6986505494904395,,1101930.0,extension
Alameda,CA,2022,1,38,1,4088484.0,,0.7931774354518423,,,0.4385733596494066,,1112628.0,extension
Alameda,CA,2024,1,39,1,4096576.0,,,0.7801339913171128,,0.596264489325014,,1123327.0,extension
Alpine,CA,1998,2,1,0,3992004.0,0.5285714,0.5357142686843872,,,0.6208726167678833,1.0,920.0,original
Alpine,CA,2000,2,2,0,4000000.0,0.46349207,,0.4853479862213135,,,,,original
Alpine,CA,2002,2,3,0,4008004.0,0.4703833,0.4810924232006073,,,0.6482673287391663,1.0,,original
Alpine,CA,2004,2,4,0,4016016.0,0.44951922,,0.5453216433525085,,0.8154822587966919,1.0,,original
Alpine,CA,2006,2,5,0,4024036.0,0.45179063,0.4249512553215027,,,0.651562511920929,1.0,,original
Alpine,CA,2008,2,6,0,4032064.0,0.4476386,,0.6261127591133118,,0.8386363983154297,1.0,,original
Alpine,CA,2010,2,7,0,4040100.0,0.46296296,0.5831809639930725,,,0.6778442859649658,1.0,835.0,original
Alpine,CA,2012,2,8,0,4048144.0,0.45124283,,0.6223999857902527,,0.7288888692855835,1.0,900.0,original
Alpine,CA,2014,2,9,0,4056196.0,0.45112783,0.6187363862991333,,,0.49263158440589905,1.0,950.0,original
