county,dem_votes,rep_votes,total_votes,year,office
Alameda,617659,136309,769864,2020,President
Alpine,476,244,741,2020,President
Amador,8153,13585,22302,2020,President
Butte,50426,48730,102042,2020,President
Calaveras,10046,16518,27164,2020,President
Colusa,3234,4554,7951,2020,President
Contra Costa,416386,152877,581230,2020,President
Del Norte,4677,6461,11452,2020,President
El Dorado,51621,61838,116138,2020,President
Fresno,193025,164464,364809,2020,President
Glenn,3995,7063,11292,2020,President
Humboldt,44768,21770,68828,2020,President
Imperial,34678,20847,56718,2020,President
Inyo,4634,4620,9481,2020,President
Kern,133366,164484,305226,2020,President
Kings,18699,24072,43858,2020,President
Lake,14941,13123,28800,2020,President
Lassen,2799,8970,11985,2020,President
Los Angeles,3028885,1145530,4263443,2020,President
Madera,23168,29378,53722,2020,President
Marin,128288,24612,155801,2020,President
Mariposa,4088,5950,10280,2020,President
Mendocino,28782,13267,43336,2020,President
Merced,48991,39397,90541,2020,President
Modoc,1150,3109,4338,2020,President
Mono,4013,2513,6737,2020,President
Monterey,113953,46299,163883,2020,President
Napa,49817,20676,72122,2020,President
Nevada,36359,26779,64738,2020,President
Orange,814009,676498,1521725,2020,President
Placer,106869,122488,235017,2020,President
Plumas,4561,6445,11256,2020,President
Riverside,527945,448702,996156,2020,President
Sacramento,440808,259405,718290,2020,President
San Benito,17628,10590,28821,2020,President
San Bernardino,455859,366257,840931,2020,President
San Diego,964650,600094,1601722,2020,President
San Francisco,378156,56417,443458,2020,President
San Joaquin,161137,121098,288443,2020,President
San Luis Obispo,88310,67436,159681,2020,President
San Mateo,291410,75563,374138,2020,President
Santa Barbara,129963,65736,200288,2020,President
Santa Clara,617967,214612,850522,2020,President
Santa Cruz,114246,26937,144796,2020,President
Shasta,30000,60789,92900,2020,President
Sierra,730,1142,1930,2020,President
Siskiyou,9593,13290,23450,2020,President
Solano,131639,69306,205831,2020,President
Sonoma,199938,61825,268252,2020,President
Stanislaus,105841,104145,214876,2020,President
Sutter,17367,24375,42640,2020,President
Tehama,8911,19141,28721,2020,President
Trinity,2851,3188,6258,2020,President
Tulare,66105,77579,146832,2020,President
Tuolumne,11978,17689,30401,2020,President
Ventura,251388,162207,422698,2020,President
Yolo,67598,27292,97264,2020,President
Yuba,11230,17676,29787,2020,President
Alameda,387046,100923,487969,2022,Governor
Alpine,363,256,619,2022,Governor
Amador,6027,12628,18655,2022,Governor
Butte,31502,40939,72441,2022,Governor
Calaveras,7103,14137,21240,2022,Governor
Colusa,1553,4009,5562,2022,Governor
Contra Costa,265371,123132,388503,2022,Governor
Del Norte,3264,5111,8375,2022,Governor
El Dorado,34534,54137,88671,2022,Governor
Fresno,98417,120668,219085,2022,Governor
Glenn,1930,6000,7930,2022,Governor
Humboldt,29541,18257,47798,2022,Governor
Imperial,16711,13158,29869,2022,Governor
Inyo,3382,4095,7477,2022,Governor
Kern,69701,119002,188703,2022,Governor
Kings,9389,17523,26912,2022,Governor
Lake,9771,10360,20131,2022,Governor
Lassen,1444,7726,9170,2022,Governor
Los Angeles,1620053,769174,2389227,2022,Governor
Madera,13283,23678,36961,2022,Governor
Marin,95289,23775,119064,2022,Governor
Mariposa,2944,4896,7840,2022,Governor
Mendocino,19031,11363,30394,2022,Governor
Merced,25200,30073,55273,2022,Governor
Modoc,687,2725,3412,2022,Governor
Mono,2493,2076,4569,2022,Governor
Monterey,65262,36867,102129,2022,Governor
Napa,32437,17671,50108,2022,Governor
Nevada,26655,24082,50737,2022,Governor
Orange,464206,492734,956940,2022,Governor
Placer,73619,108450,182069,2022,Governor
Plumas,3083,5550,8633,2022,Governor
Riverside,285000,310901,595901,2022,Governor
Sacramento,274680,202933,477613,2022,Governor
San Benito,10428,9150,19578,2022,Governor
San Bernardino,215391,239109,454500,2022,Governor
San Diego,574121,455107,1029228,2022,Governor
San Francisco,257402,44064,301466,2022,Governor
San Joaquin,85498,91827,177325,2022,Governor
San Luis Obispo,61166,58464,119630,2022,Governor
San Mateo,185599,61918,247517,2022,Governor
Santa Barbara,80648,54726,135374,2022,Governor
Santa Clara,379377,162518,541895,2022,Governor
Santa Cruz,79117,25052,104169,2022,Governor
Shasta,18607,49913,68520,2022,Governor
Sierra,529,1014,1543,2022,Governor
Siskiyou,6326,11397,17723,2022,Governor
Solano,77769,52850,130619,2022,Governor
Sonoma,140041,57413,197454,2022,Governor
Stanislaus,55311,75656,130967,2022,Governor
Sutter,9082,19024,28106,2022,Governor
Tehama,5024,15607,20631,2022,Governor
Trinity,1860,2667,4527,2022,Governor
Tulare,33273,58053,91326,2022,Governor
Tuolumne,8471,14759,23230,2022,Governor
Ventura,153226,127709,280935,2022,Governor
Yolo,44328,22807,67135,2022,Governor
Yuba,6534,13097,19631,2022,Governor
Alameda,499551,140789,669800,2024,President
Alpine,479,243,738,2024,President
Amador,7783,14018,22402,2024,President
Butte,44228,47179,94523,2024,President
Calaveras,9181,16625,26479,2024,President
Colusa,2431,4414,7021,2024,President
Contra Costa,356008,155308,528904,2024,President
Del Norte,4266,5999,10564,2024,President
El Dorado,47703,61109,111890,2024,President
Fresno,151628,165924,325994,2024,President
Glenn,3260,6904,10442,2024,President
Humboldt,39800,21559,64228,2024,President
Imperial,26083,26546,54025,2024,President
Inyo,4201,4468,8951,2024,President
Kern,108241,167879,283246,2024,President
Kings,15519,25074,41501,2024,President
Lake,12794,13161,26759,2024,President
Lassen,2478,8619,11371,2024,President
Los Angeles,2417109,1189862,3728427,2024,President
Madera,20981,32344,54624,2024,President
Marin,116152,24054,144113,2024,President
Mariposa,3622,5625,9509,2024,President
Mendocino,24049,13528,39216,2024,President
