county,rep_votes,opposition_votes,total_votes
Beaver,1971,419,2447
Box Elder,14434,4725,19898
Cache,24588,15580,41982
Carbon,4265,2114,6728
Daggett,377,109,498
Davis,66385,52806,123742
Duchesne,5170,912,6281
Emery,3269,712,4107
Garfield,1795,520,2385
Grand,1901,2422,4644
Iron,12923,3755,17309
Juab,3886,714,4731
Kane,2553,946,3659
Millard,4279,701,5130
Morgan,3665,1358,5154
Piute,692,82,783
Rich,844,206,1073
SEVIER,6411,1152,7775
Salt Lake,144931,218495,381195
San Juan,3118,1815,5560
Sanpete,7829,1912,10004
Summit,7305,12325,20354
Tooele,13371,7487,22069
Uintah,8905,1559,10833
Utah,127096,72238,206045
WAYNE,1056,415,1514
WEBER,42007,31265,77039
Wasatch,7384,5425,13314
Washington,49420,17786,69501
