outcome,specification,variable,coef,se
Dem Vote Share,Basic FE,treat,0.0280,0.0089
Dem Vote Share,Basic FE,treat_x_post,-0.0086,0.0135
Dem Vote Share,Linear Trends,treat,0.0100,0.0033
Dem Vote Share,Linear Trends,treat_x_post,-0.0133,0.0059
Dem Vote Share,Quadratic Trends,treat,0.0082,0.0032
Dem Vote Share,Quadratic Trends,treat_x_post,-0.0209,0.0058
Turnout,Basic FE,treat,0.0289,0.0070
Turnout,Basic FE,treat_x_post,-0.0195,0.0095
Turnout,Linear Trends,treat,0.0232,0.0065
Turnout,Linear Trends,treat_x_post,-0.0292,0.0090
Turnout,Quadratic Trends,treat,0.0212,0.0070
Turnout,Quadratic Trends,treat_x_post,-0.0270,0.0089
