state,county,county_id,year,prim_or_gen,pres,treat,cvap,ballots_cast,dem_share_pres,dem_share_gov,dem_share_sen,turnout_share,year2,state_year,state_year_id
CA,Alameda,1,1998,general,0,0,896920.0,397047.0,,0.7649454474449158,,0.44512438774108887,3992004.0,CA_1998,0
CA,Alameda,1,2000,general,1,0,,,0.7419142127037048,,,,4000000.0,CA_2000,1
CA,Alameda,1,2002,general,0,0,,346434.0,,0.7387482523918152,,0.3841375410556793,4008004.0,CA_2002,2
CA,Alameda,1,2004,general,1,0,,567915.0,0.7634834051132202,,,0.6263000965118408,4016016.0,CA_2004,3
CA,Alameda,1,2006,general,0,0,,415638.0,,0.6071346402168274,,0.455890029668808,4024036.0,CA_2006,4
CA,Alameda,1,2008,general,1,0,,628545.0,0.8035770058631897,,,0.6857087016105652,4032064.0,CA_2008,5
CA,Alameda,1,2010,general,0,0,937530.0,468483.0,,0.7659573554992676,,0.499699205160141,4040100.0,CA_2010,6
CA,Alameda,1,2012,general,1,0,970755.0,602479.0,0.8127905130386353,,,0.6206293106079102,4048144.0,CA_2012,7
CA,Alameda,1,2014,general,0,0,1005255.0,366599.0,,0.8217055201530457,,0.3646825850009918,4056196.0,CA_2014,8
CA,Alameda,1,2016,general,1,0,1040380.0,670245.0,0.8429475426673889,,,0.6442309617996216,4064256.0,CA_2016,9
CA,Alameda,1,2018,general,0,0,1069835.0,587501.0,,0.8055204153060913,,0.5491510629653931,4072324.0,CA_2018,10
CA,Alameda,1,2020,general,1,0,1083582.0,770070.0,0.8192111601553381,,,0.7106707198901422,4080400.0,CA_2020,11
CA,Alameda,1,2022,general,0,1,1083582.0,487969.0,,0.7931774354518423,,0.4503295551236547,4088484.0,CA_2022,12
CA,Alameda,1,2024,general,1,1,1083582.0,669907.0,0.7801339913171128,,,0.6182337838760703,4096576.0,CA_2024,13
CA,Alpine,2,1998,general,0,0,920.0,585.0,,0.5357142686843872,,0.6208726167678833,3992004.0,CA_1998,0
CA,Alpine,2,2000,general,1,0,,,0.4853479862213135,,,,4000000.0,CA_2000,1
CA,Alpine,2,2002,general,0,0,,582.0,,0.4810924232006073,,0.6482673287391663,4008004.0,CA_2002,2
CA,Alpine,2,2004,general,1,0,,714.0,0.5453216433525085,,,0.8154822587966919,4016016.0,CA_2004,3
CA,Alpine,2,2006,general,0,0,,556.0,,0.4249512553215027,,0.651562511920929,4024036.0,CA_2006,4
CA,Alpine,2,2008,general,1,0,,697.0,0.6261127591133118,,,0.8386363983154297,4032064.0,CA_2008,5
CA,Alpine,2,2010,general,0,0,835.0,566.0,,0.5831809639930725,,0.6778442859649658,4040100.0,CA_2010,6
CA,Alpine,2,2012,general,1,0,900.0,656.0,0.6223999857902527,,,0.7288888692855835,4048144.0,CA_2012,7
CA,Alpine,2,2014,general,0,0,950.0,468.0,,0.6187363862991333,,0.49263158440589905,4056196.0,CA_2014,8
CA,Alpine,2,2016,general,1,0,895.0,621.0,0.6061705946922302,,,0.6938547492027283,4064256.0,CA_2016,9
CA,Alpine,2,2018,general,0,0,895.0,626.0,,0.6276422739028931,,0.6994413137435913,4072324.0,CA_2018,10
CA,Alpine,2,2020,general,1,0,1273.0,741.0,0.6611111111111111,,,0.582089552238806,4080400.0,CA_2020,11
CA,Alpine,2,2022,general,0,0,1273.0,619.0,,0.5864297253634895,,0.48625294579732914,4088484.0,CA_2022,12
CA,Alpine,2,2024,general,1,0,1273.0,738.0,0.6634349030470914,,,0.579732914375491,4096576.0,CA_2024,13
CA,Amador,3,1998,general,0,0,27430.0,13651.0,,0.5051940083503723,,0.5096403956413269,3992004.0,CA_1998,0
CA,Amador,3,2000,general,1,0,,,0.40253543853759766,,,,4000000.0,CA_2000,1
CA,Amador,3,2002,general,0,0,,13472.0,,0.38805317878723145,,0.47986701130867004,4008004.0,CA_2002,2
CA,Amador,3,2004,general,1,0,,18088.0,0.370636910200119,,,0.6298294067382812,4016016.0,CA_2004,3
CA,Amador,3,2006,general,0,0,,15217.0,,0.23772060871124268,,0.5182313323020935,4024036.0,CA_2006,4
CA,Amador,3,2008,general,1,0,,19006.0,0.42522042989730835,,,0.6333691477775574,4032064.0,CA_2008,5
CA,Amador,3,2010,general,0,0,30500.0,16566.0,,0.44230392575263977,,0.5431475639343262,4040100.0,CA_2010,6
CA,Amador,3,2012,general,1,0,30475.0,17886.0,0.39915844798088074,,,0.5869073271751404,4048144.0,CA_2012,7
CA,Amador,3,2014,general,0,0,30145.0,13083.0,,0.44554221630096436,,0.4340023100376129,4056196.0,CA_2014,8
CA,Amador,3,2016,general,1,0,30240.0,18289.0,0.36412152647972107,,,0.604794979095459,4064256.0,CA_2016,9
CA,Amador,3,2018,general,0,0,31115.0,17784.0,,0.35451599955558777,,0.5715571045875549,4072324.0,CA_2018,10
CA,Amador,3,2020,general,1,1,34130.0,22304.0,0.3750575029901555,,,0.6535013184881336,4080400.0,CA_2020,11
CA,Amador,3,2022,general,0,1,34130.0,18655.0,,0.3230769230769231,,0.5465865807207735,4088484.0,CA_2022,12
CA,Amador,3,2024,general,1,1,34130.0,22403.0,0.35700197238658776,,,0.6564019923820685,4096576.0,CA_2024,13
CA,Butte,4,1998,general,0,0,146805.0,66217.0,,0.4798651933670044,,0.4619593918323517,3992004.0,CA_1998,0
CA,Butte,4,2000,general,1,0,,,0.4073997139930725,,,,4000000.0,CA_2000,1
CA,Butte,4,2002,general,0,0,,62511.0,,0.37276336550712585,,0.4159896671772003,4008004.0,CA_2002,2
CA,Butte,4,2004,general,1,0,,96967.0,0.4510466456413269,,,0.6307366490364075,4016016.0,CA_2004,3
CA,Butte,4,2006,general,0,0,,70298.0,,0.2905559837818146,,0.4471835494041443,4024036.0,CA_2006,4
CA,Butte,4,2008,general,1,0,,99392.0,0.5120509266853333,,,0.6186202764511108,4032064.0,CA_2008,5
