county,cvap,cvap_moe
Alameda,1083582,4559
Alpine,1273,202
Amador,34130,311
Butte,157637,908
Calaveras,37029,332
Colusa,12676,510
Contra Costa,792622,3227
Del Norte,20599,272
El Dorado,148458,945
Fresno,633991,2986
Glenn,17611,514
Humboldt,105903,561
Imperial,103601,1770
Inyo,14190,223
Kern,550337,2979
Kings,93805,1261
Lake,49770,584
Lassen,23317,269
Los Angeles,6394560,12318
Madera,97627,1415
Marin,185340,1432
Mariposa,13315,305
Mendocino,65431,559
Merced,166079,1936
Modoc,6607,182
Mono,9616,320
Monterey,241736,2418
Napa,96043,974
Nevada,81581,747
Orange,2130945,6752
Placer,311090,1563
Plumas,15821,147
Riverside,1654262,4717
Sacramento,1104256,3439
San Benito,43074,724
San Bernardino,1425320,5244
San Diego,2315394,6293
San Francisco,616394,2803
San Joaquin,499410,3006
San Luis Obispo,219609,1172
San Mateo,494554,2910
Santa Barbara,288340,2131
Santa Clara,1164887,5524
Santa Cruz,191057,1348
Shasta,138243,798
Sierra,2256,187
Siskiyou,33874,222
Solano,316980,1788
Sonoma,352389,1873
Stanislaus,349960,2434
Sutter,64188,1105
Tehama,45658,498
Trinity,12915,325
Tulare,273831,2115
Tuolumne,44316,295
Ventura,573446,2711
Yolo,154295,1570
Yuba,57584,674
