county,dem_votes,rep_votes,total_votes
Alameda,617659,136309,770070.0
Alpine,476,244,741.0
Amador,8153,13585,22304.0
Butte,50426,48730,102066.0
Calaveras,10046,16518,27164.0
Colusa,3239,4559,7961.0
Contra Costa,416386,152877,581316.0
Del Norte,4677,6461,11453.0
El Dorado,51621,61838,116159.0
Fresno,193025,164464,364917.0
Glenn,3995,7063,11297.0
Humboldt,44768,21770,68843.0
Imperial,34678,20847,56743.0
Inyo,4634,4620,9484.0
Kern,133366,164484,305292.0
Kings,18699,24072,43861.0
Lake,14941,13123,28812.0
Lassen,2799,8970,11987.0
Los Angeles,3028885,1145530,4264365.0
Madera,23168,29378,53732.0
Marin,128288,24612,155830.0
Mariposa,4088,5950,10280.0
Mendocino,28782,13267,43340.0
Merced,48991,39397,90554.0
Modoc,1150,3109,4343.0
Mono,4013,2513,6738.0
Monterey,113953,46299,163923.0
Napa,49817,20676,72150.0
Nevada,36359,26779,64750.0
Orange,814009,676498,1522113.0
Placer,106869,122488,235084.0
Plumas,4561,6445,11260.0
Riverside,528340,449144,997156.0
Sacramento,440808,259405,718440.0
San Benito,17628,10590,28830.0
San Bernardino,455859,366257,841130.0
San Diego,964650,600094,1602143.0
San Francisco,378156,56417,443553.0
San Joaquin,161137,121098,288492.0
San Luis Obispo,88310,67436,159714.0
San Mateo,291496,75584,374251.0
Santa Barbara,129963,65736,200339.0
Santa Clara,617967,214612,850741.0
Santa Cruz,114246,26937,144837.0
Shasta,30000,60789,92930.0
Sierra,730,1142,1931.0
Siskiyou,9593,13290,23472.0
Solano,131639,69306,205877.0
Sonoma,199938,61825,268317.0
Stanislaus,105841,104145,214954.0
Sutter,17367,24375,42644.0
Tehama,8911,19141,28731.0
Trinity,2851,3188,6259.0
Tulare,66105,77579,146885.0
Tuolumne,11978,17689,30408.0
Ventura,251388,162207,422825.0
Yolo,67598,27292,97294.0
Yuba,11230,17676,29796.0
