county,dem_votes,rep_votes,total_votes
Alameda,387046,100923,487969.0
Alpine,363,256,619.0
Amador,6027,12628,18655.0
Butte,31502,40939,72441.0
Calaveras,7103,14137,21240.0
Colusa,1553,4009,5562.0
Contra Costa,265371,123132,388503.0
Del Norte,3264,5111,8375.0
El Dorado,34534,54137,88671.0
Fresno,98417,120668,219085.0
Glenn,1930,6000,7930.0
Humboldt,29541,18257,47798.0
Imperial,16711,13158,29869.0
Inyo,3382,4095,7477.0
Kern,69706,119006,188712.0
Kings,9389,17523,26912.0
Lake,9771,10360,20131.0
Lassen,1444,7726,9170.0
Los Angeles,1620053,769174,2389227.0
Madera,13283,23678,36961.0
Marin,95289,23775,119064.0
Mariposa,2944,4896,7840.0
Mendocino,19031,11363,30394.0
Merced,25200,30073,55273.0
Modoc,687,2725,3412.0
Mono,2493,2076,4569.0
Monterey,65262,36867,102129.0
Napa,32437,17671,50108.0
Nevada,26655,24082,50737.0
Orange,464206,492734,956940.0
Placer,73619,108450,182069.0
Plumas,3083,5550,8633.0
Riverside,285000,310901,595901.0
Sacramento,274680,202933,477613.0
San Benito,10428,9150,19578.0
San Bernardino,215391,239109,454500.0
San Diego,574121,455107,1029228.0
San Francisco,257402,44064,301466.0
San Joaquin,85498,91827,177325.0
San Luis Obispo,61166,58464,119630.0
San Mateo,185599,61918,247517.0
Santa Barbara,80648,54726,135374.0
Santa Clara,379377,162518,541895.0
Santa Cruz,79117,25052,104169.0
Shasta,18607,49913,68520.0
Sierra,529,1014,1543.0
Siskiyou,6326,11397,17723.0
Solano,77769,52850,130619.0
Sonoma,140041,57413,197454.0
Stanislaus,55311,75656,130967.0
Sutter,9082,19024,28106.0
Tehama,5024,15607,20631.0
Trinity,1860,2667,4527.0
Tulare,33273,58053,91326.0
Tuolumne,8471,14759,23230.0
Ventura,153226,127709,280935.0
Yolo,44328,22807,67135.0
Yuba,6534,13097,19631.0
