county,vca_first_year,vca_cohort,source,verified
Madera,2018,2018,CA SOS,Yes
Napa,2018,2018,CA SOS,Yes
Nevada,2018,2018,CA SOS,Yes
Sacramento,2018,2018,CA SOS,Yes
San Mateo,2018,2018,CA SOS,Yes
Amador,2020,2020,CA SOS,Yes
Butte,2020,2020,CA SOS,Yes
Calaveras,2020,2020,CA SOS,Yes
El Dorado,2020,2020,CA SOS,Yes
Fresno,2020,2020,CA SOS,Yes
Los Angeles,2020,2020,CA SOS,Yes
Mariposa,2020,2020,CA SOS,Yes
Orange,2020,2020,CA SOS,Yes
Santa Clara,2020,2020,CA SOS,Yes
Tuolumne,2020,2020,CA SOS,Yes
Alameda,2022,2022,CA SOS VCA Report,Yes
Kings,2022,2022,CA SOS VCA Report,Yes
Marin,2022,2022,CA SOS VCA Report,Yes
Merced,2022,2022,CA SOS VCA Report,Yes
Riverside,2022,2022,CA SOS VCA Report,Yes
San Benito,2022,2022,CA SOS VCA Report,Yes
San Diego,2022,2022,CA SOS VCA Report,Yes
Santa Cruz,2022,2022,CA SOS VCA Report,Yes
Sonoma,2022,2022,CA SOS VCA Report,Yes
Stanislaus,2022,2022,CA SOS VCA Report,Yes
Ventura,2022,2022,CA SOS VCA Report,Yes
Yolo,2022,2022,CA SOS VCA Report,Yes
Humboldt,2024,2024,CA SOS / PPIC,Yes
Placer,2024,2024,CA SOS / PPIC,Yes
