state,county,cvap,cvap_moe
California,Alameda,1104010,4528
California,Alpine,1150,168
California,Amador,33475,277
California,Butte,163370,715
California,Calaveras,36995,312
California,Colusa,12605,401
California,Contra Costa,791470,3626
California,Del Norte,20655,296
California,El Dorado,147070,812
California,Fresno,624635,2542
California,Glenn,18545,430
California,Humboldt,106755,631
California,Imperial,103945,1783
California,Inyo,14335,219
California,Kern,543555,2589
California,Kings,95475,1166
California,Lake,50220,453
California,Lassen,25095,277
California,Los Angeles,6410095,10901
California,Madera,94435,1418
California,Marin,188120,1230
California,Mariposa,13470,312
California,Mendocino,66235,750
California,Merced,158800,1841
California,Modoc,6785,131
California,Mono,9445,333
California,Monterey,241250,2391
California,Napa,96315,1074
California,Nevada,81715,762
California,Orange,2127355,7474
California,Placer,301335,1387
California,Plumas,15990,124
California,Riverside,1610450,4999
California,Sacramento,1095810,3582
California,San Benito,41830,715
California,San Bernardino,1406300,5189
California,San Diego,2304925,4702
California,San Francisco,633650,3041
California,San Joaquin,487135,2986
California,San Luis Obispo,220680,1184
California,San Mateo,502615,2962
California,Santa Barbara,287625,2336
California,Santa Clara,1176135,4956
California,Santa Cruz,193475,1365
California,Shasta,138510,639
California,Sierra,2445,163
California,Siskiyou,34190,225
California,Solano,318515,1734
California,Sonoma,354880,1981
California,Stanislaus,349335,2160
California,Sutter,63935,899
California,Tehama,46600,649
California,Trinity,12720,233
California,Tulare,268455,2514
California,Tuolumne,44720,348
California,Ventura,573110,2834
California,Yolo,149865,1676
California,Yuba,55535,567
Utah,Beaver,4620,130
Utah,Box Elder,39380,232
Utah,Cache,90270,507
Utah,Carbon,14850,101
Utah,Daggett,475,83
Utah,Davis,242105,1009
Utah,Duchesne,12965,104
Utah,Emery,6870,116
Utah,Garfield,3890,89
Utah,Grand,7535,156
Utah,Iron,40565,369
Utah,Juab,7885,18
Utah,Kane,5985,89
Utah,Millard,8435,105
Utah,Morgan,8085,57
Utah,Piute,1415,123
Utah,Rich,1660,82
Utah,Salt Lake,791465,2603
Utah,San Juan,10370,113
Utah,Sanpete,20705,243
Utah,Sevier,15185,109
Utah,Summit,30380,374
Utah,Tooele,49455,335
Utah,Uintah,23940,198
Utah,Utah,425900,1506
Utah,Wasatch,23070,288
Utah,Washington,132300,763
Utah,Wayne,1850,62
Utah,Weber,182900,833
Washington,Adams,10025,442
Washington,Asotin,17425,174
Washington,Benton,140170,1193
Washington,Chelan,54745,676
Washington,Clallam,63125,284
Washington,Clark,366850,1249
Washington,Columbia,3190,58
Washington,Cowlitz,83440,425
Washington,Douglas,27660,434
Washington,Ferry,5955,33
Washington,Franklin,53040,1091
Washington,Garfield,1830,81
Washington,Grant,59250,1064
Washington,Grays Harbor,58375,413
Washington,Island,69025,403
Washington,Jefferson,28590,227
Washington,King,1546015,4787
Washington,Kitsap,213455,731
Washington,Kittitas,35965,222
Washington,Klickitat,17190,255
Washington,Lewis,62630,405
Washington,Lincoln,8515,52
Washington,Mason,50840,349
Washington,Okanogan,28820,408
Washington,Pacific,19000,179
Washington,Pend Oreille,10890,55
Washington,Pierce,669245,1885
Washington,San Juan,15070,115
Washington,Skagit,95750,583
Washington,Skamania,9785,86
Washington,Snohomish,580225,2445
Washington,Spokane,411495,1170
Washington,Stevens,36590,149
Washington,Thurston,222665,847
Washington,Wahkiakum,3600,123
Washington,Walla Walla,46705,423
Washington,Whatcom,173495,939
Washington,Whitman,37160,392
Washington,Yakima,150895,1411
