state,county,county_id,year,prim_or_gen,pres,treat,cvap,ballots_cast,ballots_cast_dem_pres,ballots_cast_rep_pres,dem_share_pres,dem_share_gov,dem_share_sen,ballots_cast_dem_gov,ballots_cast_rep_gov,turnout_share,year2,state_year
CA,Alameda,1,2020,general,1,0,1083582,770070.0,617659.0,136309.0,0.8192111601553381,,,,,0.7106707198901422,4080400,CA_2020
CA,Alameda,1,2022,general,0,1,1083582,487969.0,,,,0.7931774354518423,,387046.0,100923.0,0.4503295551236547,4088484,CA_2022
CA,Alameda,1,2024,general,1,1,1083582,669907.0,499551.0,140789.0,0.7801339913171128,,,,,0.6182337838760703,4096576,CA_2024
CA,Alpine,2,2020,general,1,0,1273,741.0,476.0,244.0,0.6611111111111111,,,,,0.582089552238806,4080400,CA_2020
CA,Alpine,2,2022,general,0,0,1273,619.0,,,,0.5864297253634895,,363.0,256.0,0.48625294579732914,4088484,CA_2022
CA,Alpine,2,2024,general,1,0,1273,738.0,479.0,243.0,0.6634349030470914,,,,,0.579732914375491,4096576,CA_2024
CA,Amador,3,2020,general,1,1,34130,22304.0,8153.0,13585.0,0.3750575029901555,,,,,0.6535013184881336,4080400,CA_2020
CA,Amador,3,2022,general,0,1,34130,18655.0,,,,0.3230769230769231,,6027.0,12628.0,0.5465865807207735,4088484,CA_2022
CA,Amador,3,2024,general,1,1,34130,22403.0,7783.0,14018.0,0.35700197238658776,,,,,0.6564019923820685,4096576,CA_2024
CA,Butte,4,2020,general,1,1,157637,102066.0,50426.0,48730.0,0.508552180402598,,,,,0.6474748948533656,4080400,CA_2020
CA,Butte,4,2022,general,0,1,157637,72441.0,,,,0.4348642343424304,,31502.0,40939.0,0.45954312756522897,4088484,CA_2022
CA,Butte,4,2024,general,1,1,157637,94556.0,44228.0,47179.0,0.48385791022569385,,,,,0.5998337953653013,4096576,CA_2024
CA,Calaveras,5,2020,general,1,1,37029,27164.0,10046.0,16518.0,0.37818099683782563,,,,,0.7335871884198871,4080400,CA_2020
CA,Calaveras,5,2022,general,0,1,37029,21240.0,,,,0.3344161958568738,,7103.0,14137.0,0.573604472170461,4088484,CA_2022
CA,Calaveras,5,2024,general,1,1,37029,26480.0,9181.0,16625.0,0.35576997597457954,,,,,0.7151151799940587,4096576,CA_2024
CA,Colusa,6,2020,general,1,0,12676,7961.0,3239.0,4559.0,0.4153629135675814,,,,,0.6280372357210476,4080400,CA_2020
CA,Colusa,6,2022,general,0,0,12676,5562.0,,,,0.2792161093131967,,1553.0,4009.0,0.4387819501420006,4088484,CA_2022
CA,Colusa,6,2024,general,1,0,12676,7021.0,2431.0,4414.0,0.35514974433893354,,,,,0.5538813505837804,4096576,CA_2024
CA,Contra Costa,7,2020,general,1,0,792622,581316.0,416386.0,152877.0,0.731447503175158,,,,,0.7334088632412423,4080400,CA_2020
