county,cvap,cvap_moe
Beaver,4620,130
Box Elder,39380,232
Cache,90270,507
Carbon,14850,101
Daggett,475,83
Davis,242105,1009
Duchesne,12965,104
Emery,6870,116
Garfield,3890,89
Grand,7535,156
Iron,40565,369
Juab,7885,18
Kane,5985,89
Millard,8435,105
Morgan,8085,57
Piute,1415,123
Rich,1660,82
Salt Lake,791465,2603
San Juan,10370,113
Sanpete,20705,243
Sevier,15185,109
Summit,30380,374
Tooele,49455,335
Uintah,23940,198
Utah,425900,1506
Wasatch,23070,288
Washington,132300,763
Wayne,1850,62
Weber,182900,833
