county,dem_votes,rep_votes,total_votes
Beaver,251,2120,3253
Box Elder,3535,18423,29668
Cache,13061,36185,62148
Carbon,2094,5710,9610
Daggett,72,391,557
Davis,40181,95679,172869
Duchesne,728,5721,9067
Emery,469,3256,5077
Garfield,393,1914,2857
Grand,2433,2186,5371
Iron,3967,16814,28457
Juab,491,3821,6616
Kane,859,2628,4560
Millard,499,3708,6500
Morgan,772,4293,7005
Piute,53,718,977
Rich,132,1088,1465
Salt Lake,220368,222608,521789
San Juan,1994,2241,6441
Sanpete,1240,8052,13226
Sevier,777,7341,11072
Summit,11435,11202,26482
Tooele,7104,19827,34652
Uintah,1428,10208,16036
Utah,54536,171100,308981
Wasatch,4574,10043,18979
Washington,15977,53786,99137
Wayne,287,925,1674
Weber,30804,59443,114612
