county,dem_votes,rep_votes,total_votes
Beaver,394,2781,3253
Box Elder,5274,22853,29668
Cache,18718,39457,62148
Carbon,2525,6719,9610
Daggett,101,443,557
Davis,59895,101293,172869
Duchesne,1009,7815,9067
Emery,603,4341,5077
Garfield,541,2211,2857
Grand,2828,2327,5371
Iron,5683,21571,28457
Juab,734,5671,6616
Kane,1137,3277,4560
Millard,713,5558,6500
Morgan,1256,5300,7005
Piute,94,854,977
Rich,214,1211,1465
Salt Lake,273658,221555,521789
San Juan,2581,3613,6441
Sanpete,1906,10653,13226
Sevier,1236,9526,11072
Summit,14612,10783,26482
Tooele,9560,23484,34652
Uintah,1952,13599,16036
Utah,84937,203476,308981
Wasatch,6459,11495,18979
Washington,22327,73165,99137
Wayne,381,1238,1674
Weber,41238,67549,114612
