county,cvap,cvap_moe
Adams,9903,405
Asotin,17729,129
Benton,144825,1145
Chelan,55974,742
Clallam,64145,236
Clark,378085,1499
Columbia,3171,93
Cowlitz,84596,413
Douglas,28541,511
Ferry,6054,79
Franklin,56146,999
Garfield,1859,84
Grant,61010,1056
Grays Harbor,59336,471
Island,69508,361
Jefferson,29206,239
King,1564199,5144
Kitsap,215858,842
Kittitas,38188,313
Klickitat,18038,310
Lewis,64394,377
Lincoln,8883,55
Mason,52127,362
Okanogan,29999,351
Pacific,19734,247
Pend Oreille,11230,81
Pierce,676964,1821
San Juan,15596,110
Skagit,97935,667
Skamania,10112,75
Snohomish,585933,2410
Spokane,419776,1094
Stevens,37662,120
Thurston,227096,1008
Wahkiakum,3817,86
Walla Walla,46523,476
Whatcom,178126,959
Whitman,37497,422
Yakima,153356,1320
