county,dem_votes,rep_votes,total_votes
Adams,1814,3907,5862
Asotin,4250,7319,11951
Benton,38706,60365,103033
Chelan,19349,22746,43306
Clallam,24721,23062,49264
Clark,140324,126303,275403
Columbia,668,1754,2495
Cowlitz,23938,34424,60280
Douglas,7811,12955,21308
Ferry,1486,2771,4367
Franklin,13340,18039,32404
Garfield,366,1069,1489
Grant,11819,24764,37680
Grays Harbor,17354,19877,38441
Island,29213,22746,53925
Jefferson,17204,6931,24792
King,907310,269167,1210507
Kitsap,90277,61563,158672
Kittitas,11421,14105,26364
Klickitat,5959,7237,13560
Lewis,14520,29391,45309
Lincoln,1713,5150,7033
Mason,17269,18710,37303
Okanogan,8900,11840,21282
Pacific,6794,6953,14064
Pend Oreille,2593,5728,8553
Pierce,249506,197730,464081
San Juan,9725,3057,13197
Skagit,38252,32762,73423
Skamania,3192,3885,7312
Snohomish,256728,166428,438796
Spokane,135765,148576,295430
Stevens,7839,19808,28430
Thurston,96608,65277,168134
Wahkiakum,1165,1741,2981
Walla Walla,13690,16400,31261
Whatcom,83660,50489,138620
Whitman,11184,9067,21126
Yakima,43179,50555,96193
