county,dem_votes,rep_votes,total_votes
Adams,969,3150,4131
Asotin,3181,5824,9018
Benton,25513,50108,75749
Chelan,14373,19833,34273
Clallam,20784,19401,40279
Clark,105058,100260,205616
Columbia,592,1575,2179
Cowlitz,17439,27446,44942
Douglas,5275,10806,16117
Ferry,1060,2348,3415
Franklin,7022,15174,22214
Garfield,307,977,1287
Grant,7221,19655,26912
Grays Harbor,13600,15718,29399
Island,23680,19275,43057
Jefferson,14970,6185,21199
King,668692,220307,890942
Kitsap,70939,52134,123351
Kittitas,8318,12446,20798
Klickitat,4798,6639,11455
Lewis,11263,24654,35992
Lincoln,1423,4716,6154
Mason,13777,15612,29475
Okanogan,6644,9926,16604
Pacific,5771,6137,11943
Pend Oreille,2032,4739,6787
Pierce,175164,156331,332454
San Juan,8254,3055,11326
Skagit,29316,27394,56849
Skamania,2620,3599,6227
Snohomish,184430,135339,320633
Spokane,100719,120369,221531
Stevens,6073,16803,22919
Thurston,73189,52570,126106
Wahkiakum,1007,1551,2565
Walla Walla,10039,14192,24260
Whatcom,65950,45038,111170
Whitman,7824,7848,15707
Yakima,22541,40188,62865
