county,dem_votes,rep_votes,total_votes
Adams,1396,3865,5274
Asotin,4030,7198,11252
Benton,35632,63118,98950
Chelan,17205,24465,41739
Clallam,24709,23100,47925
Clark,137977,130045,268382
Columbia,627,1797,2435
Cowlitz,22143,36035,58247
Douglas,7009,13907,20954
Ferry,1258,2806,4073
Franklin,11385,19676,31096
Garfield,299,1064,1363
Grant,10448,25186,35688
Grays Harbor,16558,20740,37404
Island,27931,23677,51738
Jefferson,17201,7312,24575
King,797248,314226,1113997
Kitsap,87731,66682,154802
Kittitas,9662,16394,26123
Klickitat,5691,7625,13335
Lewis,13751,31084,44925
Lincoln,1591,5472,7091
Mason,16173,19942,36236
Okanogan,8190,12161,20395
Pacific,6676,7352,14049
Pend Oreille,2464,5960,8446
Pierce,220153,212218,433415
San Juan,9348,3400,12781
Skagit,34821,34231,69203
Skamania,3058,4109,7178
Snohomish,225276,183458,409679
Spokane,127594,153974,281959
Stevens,7256,20673,27989
Thurston,90696,71764,162865
Wahkiakum,1158,1845,3009
Walla Walla,12408,16730,29163
Whatcom,81435,54769,136451
Whitman,10087,9610,19742
Yakima,35093,52148,87460
