state,county,year,office,dem_votes,rep_votes,total_votes,dem_share
CA,Alameda,2020,presidential,617659,136309,770399,0.8192111601553381
CA,Alpine,2020,presidential,444,373,855,0.543451652386781
CA,Amador,2020,presidential,9223,15562,25576,0.37212023401250754
CA,Butte,2020,presidential,49442,58660,113835,0.4573643410852713
CA,Calaveras,2020,presidential,11531,19123,31836,0.3761662425784563
CA,Colusa,2020,presidential,2652,5918,8845,0.30945157526254374
CA,Contra Costa,2020,presidential,386946,144609,553174,0.7279510116544854
CA,Del Norte,2020,presidential,4934,7535,13052,0.39570133932151735
CA,El Dorado,2020,presidential,49809,68754,123149,0.42010576655449
CA,Fresno,2020,presidential,159824,163896,336019,0.49371061411096007
CA,Glenn,2020,presidential,3520,8829,12736,0.2850433233460199
CA,Humboldt,2020,presidential,40936,24851,70503,0.622250596622433
CA,Imperial,2020,presidential,26411,22831,51076,0.5363510824093254
CA,Inyo,2020,presidential,4534,5752,10699,0.4407933112969084
CA,Kern,2020,presidential,99133,179785,287843,0.3554198725073319
CA,Kings,2020,presidential,15551,26039,43007,0.3739119980764607
CA,Lake,2020,presidential,14361,15213,31203,0.4855954554676405
CA,Lassen,2020,presidential,3134,10270,13844,0.23381080274544913
CA,Los Angeles,2020,presidential,3028885,1145530,4322146,0.7255831056567208
CA,Madera,2020,presidential,21145,37005,60114,0.3636285468615649
CA,Marin,2020,presidential,118944,27467,151877,0.8123979755619455
CA,Mariposa,2020,presidential,4255,6697,11320,0.3885135135135135
CA,Mendocino,2020,presidential,27041,13624,43217,0.6649698758145826
CA,Merced,2020,presidential,41715,43428,88174,0.4899404531200451
CA,Modoc,2020,presidential,1024,4021,5208,0.20297324083250742
CA,Mono,2020,presidential,3898,3103,7308,0.556777603199543
CA,Monterey,2020,presidential,107583,44759,158490,0.7061939583305983
CA,Napa,2020,presidential,44775,23103,70712,0.6596393529567753
CA,Nevada,2020,presidential,30854,34168,67779,0.47451631755405865
CA,Orange,2020,presidential,812544,698207,1571053,0.5378411134594648
CA,Placer,2020,presidential,103671,140891,254213,0.42390477670284016
CA,Plumas,2020,presidential,4769,7552,12795,0.3870627384140898
CA,Riverside,2020,presidential,449295,454571,937141,0.4970814257865657
CA,Sacramento,2020,presidential,404178,255010,686424,0.6131452635666912
CA,San Benito,2020,presidential,14916,12785,28956,0.5384643153676762
CA,San Bernardino,2020,presidential,370591,343254,743417,0.5191477141396241
CA,San Diego,2020,presidential,905771,569597,1539285,0.6139288638495616
CA,San Francisco,2020,presidential,365270,35467,417131,0.9114955694133559
CA,San Joaquin,2020,presidential,138023,123107,271318,0.5285604871136982
CA,San Luis Obispo,2020,presidential,76648,68188,152168,0.5292054461597945
CA,San Mateo,2020,presidential,277730,71399,362775,0.7954939291780402
CA,Santa Barbara,2020,presidential,118254,66999,193423,0.638337840682742
CA,Santa Clara,2020,presidential,595823,203584,831052,0.7453312267718446
