county,vca_first_year,state,source,verified
Alameda,2022.0,CA,CA Secretary of State,Yes
Alpine,,CA,CA Secretary of State,No
Amador,2020.0,CA,CA Secretary of State,Yes
Butte,2020.0,CA,CA Secretary of State,Yes
Calaveras,2020.0,CA,CA Secretary of State,Yes
Colusa,,CA,CA Secretary of State,No
Contra Costa,,CA,CA Secretary of State,No
Del Norte,,CA,CA Secretary of State,No
El Dorado,2020.0,CA,CA Secretary of State,Yes
Fresno,2020.0,CA,CA Secretary of State,Yes
Glenn,,CA,CA Secretary of State,No
Humboldt,2022.0,CA,CA Secretary of State,Yes
Imperial,2022.0,CA,CA Secretary of State,Yes
Inyo,,CA,CA Secretary of State,No
Kern,,CA,CA Secretary of State,No
Kings,2022.0,CA,CA Secretary of State,Yes
Lake,,CA,CA Secretary of State,No
Lassen,,CA,CA Secretary of State,No
Los Angeles,2020.0,CA,CA Secretary of State,Yes
Madera,2018.0,CA,CA Secretary of State,Yes
Marin,2022.0,CA,CA Secretary of State,Yes
Mariposa,2020.0,CA,CA Secretary of State,Yes
Mendocino,,CA,CA Secretary of State,No
Merced,2022.0,CA,CA Secretary of State,Yes
Modoc,,CA,CA Secretary of State,No
Mono,,CA,CA Secretary of State,No
Monterey,,CA,CA Secretary of State,No
Napa,2018.0,CA,CA Secretary of State,Yes
Nevada,2018.0,CA,CA Secretary of State,Yes
Orange,2020.0,CA,CA Secretary of State,Yes
Placer,2022.0,CA,CA Secretary of State,Yes
Plumas,,CA,CA Secretary of State,No
Riverside,2022.0,CA,CA Secretary of State,Yes
Sacramento,2018.0,CA,CA Secretary of State,Yes
San Benito,2022.0,CA,CA Secretary of State,Yes
San Bernardino,,CA,CA Secretary of State,No
San Diego,2022.0,CA,CA Secretary of State,Yes
San Francisco,,CA,CA Secretary of State,No
San Joaquin,,CA,CA Secretary of State,No
San Luis Obispo,,CA,CA Secretary of State,No
San Mateo,2018.0,CA,CA Secretary of State,Yes
Santa Barbara,,CA,CA Secretary of State,No
Santa Clara,2020.0,CA,CA Secretary of State,Yes
Santa Cruz,2022.0,CA,CA Secretary of State,Yes
Shasta,,CA,CA Secretary of State,No
Sierra,,CA,CA Secretary of State,No
Siskiyou,,CA,CA Secretary of State,No
Solano,,CA,CA Secretary of State,No
Sonoma,2022.0,CA,CA Secretary of State,Yes
Stanislaus,2022.0,CA,CA Secretary of State,Yes
Sutter,,CA,CA Secretary of State,No
Tehama,,CA,CA Secretary of State,No
Trinity,,CA,CA Secretary of State,No
Tulare,,CA,CA Secretary of State,No
Tuolumne,2020.0,CA,CA Secretary of State,Yes
Ventura,2022.0,CA,CA Secretary of State,Yes
Yolo,2022.0,CA,CA Secretary of State,Yes
Yuba,,CA,CA Secretary of State,No
