state,county,cvap_2020
CA,Alameda,1133000
CA,Alpine,900
CA,Amador,31000
CA,Butte,168000
CA,Calaveras,38000
CA,Colusa,13000
CA,Contra Costa,815000
CA,Del Norte,19000
CA,El Dorado,151000
CA,Fresno,620000
CA,Glenn,18000
CA,Humboldt,103000
CA,Imperial,105000
CA,Inyo,14000
CA,Kern,540000
CA,Kings,85000
CA,Lake,49000
CA,Lassen,22000
CA,Los Angeles,6900000
CA,Madera,97000
CA,Marin,205000
CA,Mariposa,14000
CA,Mendocino,67000
CA,Merced,165000
CA,Modoc,7000
CA,Mono,10000
CA,Monterey,280000
CA,Napa,107000
CA,Nevada,82000
CA,Orange,2300000
CA,Placer,300000
CA,Plumas,16000
CA,Riverside,1650000
CA,Sacramento,1100000
CA,San Benito,43000
CA,San Bernardino,1400000
CA,San Diego,2400000
CA,San Francisco,680000
CA,San Joaquin,480000
CA,San Luis Obispo,220000
CA,San Mateo,560000
CA,Santa Barbara,315000
CA,Santa Clara,1350000
CA,Santa Cruz,200000
CA,Shasta,140000
CA,Sierra,2500
CA,Siskiyou,35000
CA,Solano,325000
CA,Sonoma,385000
CA,Stanislaus,360000
CA,Sutter,65000
CA,Tehama,46000
CA,Trinity,11000
CA,Tulare,265000
CA,Tuolumne,43000
CA,Ventura,620000
CA,Yolo,155000
CA,Yuba,49000
UT,Beaver,5000
UT,Box Elder,40000
UT,Cache,90000
UT,Carbon,15000
UT,Daggett,800
UT,Davis,270000
UT,Duchesne,15000
UT,Emery,7500
UT,Garfield,4000
UT,Grand,7500
UT,Iron,40000
UT,Juab,8500
UT,Kane,6000
UT,Millard,9500
UT,Morgan,9000
UT,Piute,1400
UT,Rich,2000
UT,Salt Lake,820000
UT,San Juan,11000
UT,Sanpete,22000
UT,Sevier,16000
UT,Summit,32000
UT,Tooele,50000
UT,Uintah,26000
UT,Utah,420000
UT,Wasatch,24000
UT,Washington,130000
UT,Wayne,2200
UT,Weber,175000
WA,Adams,11000
WA,Asotin,17000
WA,Benton,145000
WA,Chelan,57000
WA,Clallam,61000
WA,Clark,365000
WA,Columbia,3200
WA,Cowlitz,80000
WA,Douglas,30000
WA,Ferry,6000
WA,Franklin,55000
WA,Garfield,1800
WA,Grant,60000
WA,Grays Harbor,55000
WA,Island,66000
WA,Jefferson,28000
WA,King,1650000
WA,Kitsap,210000
WA,Kittitas,33000
WA,Klickitat,17000
WA,Lewis,60000
WA,Lincoln,8500
WA,Mason,50000
WA,Okanogan,32000
WA,Pacific,17000
WA,Pend Oreille,11000
WA,Pierce,640000
WA,San Juan,14000
WA,Skagit,98000
WA,Skamania,9500
WA,Snohomish,600000
WA,Spokane,385000
WA,Stevens,35000
WA,Thurston,220000
WA,Wahkiakum,3500
WA,Walla Walla,45000
WA,Whatcom,175000
WA,Whitman,32000
WA,Yakima,160000
