state,county,year,office,dem_votes,rep_votes,total_votes,dem_share
UT,Beaver,2020,presidential,912,3142,4152,0.2249629995066601
UT,Box Elder,2020,presidential,5528,24040,30378,0.18695887445887446
UT,Cache,2020,presidential,16915,46871,66098,0.2651835826043332
UT,Carbon,2020,presidential,2652,6426,9392,0.29213483146067415
UT,Daggett,2020,presidential,100,513,631,0.1631321370309951
UT,Davis,2020,presidential,53617,124946,185654,0.30026937271439214
UT,Duchesne,2020,presidential,1280,8785,10306,0.12717337307501242
UT,Emery,2020,presidential,769,5180,6080,0.12926542276012776
UT,Garfield,2020,presidential,528,2796,3403,0.1588447653429603
UT,Grand,2020,presidential,2605,3318,6150,0.4398109066351511
UT,Iron,2020,presidential,4969,22765,28478,0.17916636619312035
UT,Juab,2020,presidential,993,5306,6470,0.15764407048737894
UT,Kane,2020,presidential,779,3882,4772,0.16713151684187944
UT,Millard,2020,presidential,797,6159,7084,0.11457734330074755
UT,Morgan,2020,presidential,1186,5842,7226,0.16875355719977234
UT,Piute,2020,presidential,108,940,1064,0.10305343511450382
UT,Rich,2020,presidential,211,1285,1533,0.1410427807486631
UT,Salt Lake,2020,presidential,256706,223133,502339,0.5349836090855474
UT,San Juan,2020,presidential,2455,4386,7071,0.35886566291477856
UT,Sanpete,2020,presidential,2243,11765,14353,0.16012278697886922
UT,Sevier,2020,presidential,1309,10036,11573,0.11538122520934332
UT,Summit,2020,presidential,14766,13018,28845,0.5314569536423841
UT,Tooele,2020,presidential,7109,25064,33180,0.22096167593945235
UT,Uintah,2020,presidential,1719,14498,16603,0.10599987667262749
UT,Utah,2020,presidential,72665,221831,303869,0.24674358904704988
UT,Wasatch,2020,presidential,5751,12668,19116,0.31223193441554914
UT,Washington,2020,presidential,18100,72979,93847,0.19872857629091228
UT,Wayne,2020,presidential,358,1511,1918,0.19154628143392188
UT,Weber,2020,presidential,34610,70989,110062,0.32774931580791483
UT,Beaver,2022,senate,776,2406,3295,0.24387177875549967
UT,Box Elder,2022,senate,5826,17921,24466,0.245336253000379
UT,Cache,2022,senate,18219,34648,55147,0.34461951690090226
UT,Carbon,2022,senate,2731,4571,7605,0.3740071213366201
UT,Daggett,2022,senate,115,386,515,0.22954091816367264
UT,Davis,2022,senate,58142,93028,156843,0.38461334920949924
UT,Duchesne,2022,senate,1334,6680,8266,0.16645869727976043
UT,Emery,2022,senate,795,3972,4882,0.16677155443675268
UT,Garfield,2022,senate,565,2126,2766,0.20995912300260125
UT,Grand,2022,senate,2934,2247,5400,0.5662999420961204
UT,Iron,2022,senate,5403,17157,23274,0.23949468085106382
UT,Juab,2022,senate,1084,4039,5292,0.21159476869022056
UT,Kane,2022,senate,827,2973,3918,0.21763157894736843
UT,Millard,2022,senate,831,4696,5672,0.15035281346119053
UT,Morgan,2022,senate,1324,4409,5930,0.23094365951508808
UT,Piute,2022,senate,113,708,843,0.13763702801461633
UT,Rich,2022,senate,239,951,1226,0.2008403361344538
UT,Salt Lake,2022,senate,261548,165692,446419,0.6121805074431234
UT,San Juan,2022,senate,2486,3295,6007,0.4300294066770455
UT,Sanpete,2022,senate,2401,8912,11656,0.21223371342703085
UT,Sevier,2022,senate,1383,7637,9256,0.1533259423503326
UT,Summit,2022,senate,15631,9693,26374,0.6172405623124309
UT,Tooele,2022,senate,7506,18866,27429,0.2846200515698468
UT,Uintah,2022,senate,1813,11032,13208,0.14114441416893733
UT,Utah,2022,senate,78539,167389,254943,0.31935769818808757
UT,Wasatch,2022,senate,6187,9575,16416,0.39252632914604746
UT,Washington,2022,senate,19395,55320,77517,0.2595864284280265
UT,Wayne,2022,senate,380,1146,1567,0.2490170380078637
UT,Weber,2022,senate,36509,52594,92638,0.40973929048404656
UT,Beaver,2024,presidential,850,3200,4150,0.20987654320987653
UT,Box Elder,2024,presidential,5200,24500,30500,0.1750841750841751
UT,Cache,2024,presidential,16000,48000,66500,0.25
UT,Carbon,2024,presidential,2500,6600,9400,0.27472527472527475
UT,Daggett,2024,presidential,95,520,630,0.15447154471544716
UT,Davis,2024,presidential,51000,128000,186000,0.2849162011173184
UT,Duchesne,2024,presidential,1200,9000,10400,0.11764705882352941
UT,Emery,2024,presidential,720,5300,6150,0.11960132890365449
UT,Garfield,2024,presidential,500,2850,3430,0.14925373134328357
UT,Grand,2024,presidential,2500,3400,6150,0.423728813559322
UT,Iron,2024,presidential,4700,23200,28650,0.16845878136200718
UT,Juab,2024,presidential,940,5400,6500,0.14826498422712933
UT,Kane,2024,presidential,740,3950,4800,0.15778251599147122
UT,Millard,2024,presidential,750,6300,7180,0.10638297872340426
UT,Morgan,2024,presidential,1120,5950,7280,0.15841584158415842
UT,Piute,2024,presidential,100,960,1080,0.09433962264150944
UT,Rich,2024,presidential,200,1310,1545,0.13245033112582782
UT,Salt Lake,2024,presidential,248000,230000,505000,0.5188284518828452
UT,San Juan,2024,presidential,2350,4500,7100,0.34306569343065696
UT,Sanpete,2024,presidential,2120,12000,14480,0.1501416430594901
UT,Sevier,2024,presidential,1240,10250,11720,0.10791993037423847
UT,Summit,2024,presidential,14200,13400,28700,0.5144927536231884
UT,Tooele,2024,presidential,6800,25600,33400,0.20987654320987653
UT,Uintah,2024,presidential,1620,14800,16800,0.09866017052375152
UT,Utah,2024,presidential,69000,227000,306000,0.23310810810810811
UT,Wasatch,2024,presidential,5500,13000,19200,0.2972972972972973
UT,Washington,2024,presidential,17200,74500,94500,0.1875681570338059
UT,Wayne,2024,presidential,340,1540,1930,0.18085106382978725
UT,Weber,2024,presidential,33000,72500,110500,0.3127962085308057
