state,county,vbm_first_year,source,verified
UT,Beaver,2014,Utah Lieutenant Governor,Yes
UT,Box Elder,2016,Utah Lieutenant Governor,Yes
UT,Cache,2016,Utah Lieutenant Governor,Yes
UT,Carbon,2014,Utah Lieutenant Governor,Yes
UT,Daggett,2016,Utah Lieutenant Governor,Yes
UT,Davis,2016,Utah Lieutenant Governor,Yes
UT,Duchesne,2014,Utah Lieutenant Governor,Yes
UT,Emery,2012,Utah Lieutenant Governor,Yes
UT,Garfield,2016,Utah Lieutenant Governor,Yes
UT,Grand,2016,Utah Lieutenant Governor,Yes
UT,Iron,2014,Utah Lieutenant Governor,Yes
UT,Juab,2014,Utah Lieutenant Governor,Yes
UT,Kane,2014,Utah Lieutenant Governor,Yes
UT,Millard,2014,Utah Lieutenant Governor,Yes
UT,Morgan,2016,Utah Lieutenant Governor,Yes
UT,Piute,2016,Utah Lieutenant Governor,Yes
UT,Rich,2016,Utah Lieutenant Governor,Yes
UT,Salt Lake,2020,Utah Lieutenant Governor,Yes
UT,San Juan,2018,Utah Lieutenant Governor,Yes
UT,Sanpete,2016,Utah Lieutenant Governor,Yes
UT,Sevier,2016,Utah Lieutenant Governor,Yes
UT,Summit,2016,Utah Lieutenant Governor,Yes
UT,Tooele,2018,Utah Lieutenant Governor,Yes
UT,Uintah,2014,Utah Lieutenant Governor,Yes
UT,Utah,2020,Utah Lieutenant Governor,Yes
UT,Wasatch,2018,Utah Lieutenant Governor,Yes
UT,Washington,2018,Utah Lieutenant Governor,Yes
UT,Wayne,2018,Utah Lieutenant Governor,Yes
UT,Weber,2018,Utah Lieutenant Governor,Yes
