state,county,year,office,dem_votes,rep_votes,total_votes,dem_share
WA,Adams,2020,presidential,2245,6651,9133,0.25236061151079137
WA,Asotin,2020,presidential,4017,7754,12111,0.34126242460283746
WA,Benton,2020,presidential,33574,71779,108647,0.3186810057615825
WA,Chelan,2020,presidential,16372,26159,44070,0.38494274764289577
WA,Clallam,2020,presidential,21478,23547,47139,0.477023875624653
WA,Clark,2020,presidential,140242,131803,283118,0.5155103016045139
WA,Columbia,2020,presidential,655,1816,2530,0.2650748684743019
WA,Cowlitz,2020,presidential,20266,32816,55055,0.3817866696808711
WA,Douglas,2020,presidential,7224,15629,23593,0.31610729444711855
WA,Ferry,2020,presidential,1265,3205,4591,0.2829977628635347
WA,Franklin,2020,presidential,10568,24640,36263,0.30015905476028176
WA,Garfield,2020,presidential,378,1115,1531,0.2531815137307435
WA,Grant,2020,presidential,11728,29507,42525,0.28441857645204316
WA,Grays Harbor,2020,presidential,14046,19923,35559,0.41349465689304954
WA,Island,2020,presidential,25968,23977,52089,0.5199319251176294
WA,Jefferson,2020,presidential,14693,7608,23221,0.6588493789516165
WA,King,2020,presidential,870797,262389,1174648,0.7684501926426907
WA,Kitsap,2020,presidential,79440,67907,153655,0.5391355100544972
WA,Kittitas,2020,presidential,8937,15942,25835,0.35921861811166045
WA,Klickitat,2020,presidential,4232,7766,12396,0.3527254542423737
WA,Lewis,2020,presidential,11925,29426,42764,0.2883848032695703
WA,Lincoln,2020,presidential,1586,5385,7119,0.22751398651556448
WA,Mason,2020,presidential,16007,19977,37684,0.4448365940417964
WA,Okanogan,2020,presidential,7541,13564,21836,0.35730869462212744
WA,Pacific,2020,presidential,5228,6785,12480,0.43519520519437277
WA,Pend Oreille,2020,presidential,2471,5728,8419,0.3013782168557141
WA,Pierce,2020,presidential,223318,190962,432206,0.5390508834604615
WA,San Juan,2020,presidential,7844,3644,11929,0.682799442896936
WA,Skagit,2020,presidential,34975,38533,76562,0.47579855253849923
WA,Skamania,2020,presidential,2756,4426,7435,0.3837371205792258
WA,Snohomish,2020,presidential,244050,170655,431858,0.5884906138098166
WA,Spokane,2020,presidential,115595,150965,276748,0.4336547118847539
WA,Stevens,2020,presidential,6979,19579,27250,0.26278334211913545
WA,Thurston,2020,presidential,93219,61909,162296,0.6009166623691403
WA,Wahkiakum,2020,presidential,1030,1773,2891,0.3674634320371031
WA,Walla Walla,2020,presidential,11199,17885,30217,0.3850570760555632
WA,Whatcom,2020,presidential,70234,52439,128096,0.5725302226243754
WA,Whitman,2020,presidential,11168,11851,24011,0.48516442938442156
WA,Yakima,2020,presidential,36936,59330,99440,0.3836868676375875
WA,Adams,2022,senate,1782,5410,7442,0.2477753058954394
WA,Asotin,2022,senate,3374,6455,10095,0.3432699155560077
WA,Benton,2022,senate,27764,61668,92583,0.3104481617318186
WA,Chelan,2022,senate,14158,22067,37684,0.3908350586611456
WA,Clallam,2022,senate,19212,20268,41144,0.4866261398176292
WA,Clark,2022,senate,122873,115578,247968,0.5152966437549015
WA,Columbia,2022,senate,540,1517,2123,0.2625182304326689
WA,Cowlitz,2022,senate,17030,27997,46845,0.37821751393608277
WA,Douglas,2022,senate,6042,13321,20003,0.3120384237979652
WA,Ferry,2022,senate,1036,2699,3844,0.277376171352075
WA,Franklin,2022,senate,8739,20735,30430,0.29649860894347563
WA,Garfield,2022,senate,308,934,1282,0.24798711755233493
WA,Grant,2022,senate,9533,24717,35350,0.27833576642335767
WA,Grays Harbor,2022,senate,12044,16788,30232,0.4177302996670366
WA,Island,2022,senate,23369,20662,45883,0.5307397061161454
WA,Jefferson,2022,senate,13656,6258,20654,0.6857487194938234
WA,King,2022,senate,780462,218091,1030655,0.7815929650203844
WA,Kitsap,2022,senate,71178,57698,134308,0.552298333281604
WA,Kittitas,2022,senate,7598,13512,21873,0.35992420653718615
WA,Klickitat,2022,senate,3601,6581,10519,0.35366332744058143
WA,Lewis,2022,senate,9854,24917,36189,0.28339708377671047
WA,Lincoln,2022,senate,1301,4505,5960,0.2240785394419566
WA,Mason,2022,senate,14113,16933,32284,0.45458352122656703
WA,Okanogan,2022,senate,6343,11425,18392,0.3569900945520036
WA,Pacific,2022,senate,4535,5694,10608,0.44334734578160134
WA,Pend Oreille,2022,senate,2044,4867,7103,0.2957603819997106
WA,Pierce,2022,senate,195676,163141,373855,0.5453364807130097
WA,San Juan,2022,senate,7286,3030,10649,0.7062815044590927
WA,Skagit,2022,senate,30874,33132,66630,0.48236102865356373
WA,Skamania,2022,senate,2352,3744,6320,0.3858267716535433
WA,Snohomish,2022,senate,216929,148038,379625,0.5943797658418433
WA,Spokane,2022,senate,100946,131050,241123,0.43511957102708665
WA,Stevens,2022,senate,5751,16656,23036,0.2566608649082876
WA,Thurston,2022,senate,83891,52450,142454,0.6153028069326175
WA,Wahkiakum,2022,senate,867,1491,2441,0.36768447837150126
WA,Walla Walla,2022,senate,9545,14987,25509,0.38908364585031796
WA,Whatcom,2022,senate,62865,45036,112374,0.5826173992826758
WA,Whitman,2022,senate,9637,9870,20268,0.494027784897729
WA,Yakima,2022,senate,30657,49989,83547,0.3801428465143962
WA,Adams,2024,presidential,2100,6800,9150,0.23595505617977527
WA,Asotin,2024,presidential,3800,7900,12050,0.3247863247863248
WA,Benton,2024,presidential,32000,73500,109000,0.3033175355450237
WA,Chelan,2024,presidential,15600,26800,44000,0.36792452830188677
WA,Clallam,2024,presidential,20500,24200,46800,0.45861297539149887
WA,Clark,2024,presidential,135000,135000,282000,0.5
WA,Columbia,2024,presidential,620,1850,2530,0.25101214574898784
WA,Cowlitz,2024,presidential,19400,33500,55000,0.3667296786389414
WA,Douglas,2024,presidential,6900,16000,23600,0.30131004366812225
WA,Ferry,2024,presidential,1200,3300,4620,0.26666666666666666
WA,Franklin,2024,presidential,10100,25200,36400,0.28611898016997167
WA,Garfield,2024,presidential,360,1140,1540,0.24
WA,Grant,2024,presidential,11200,30200,42700,0.27053140096618356
WA,Grays Harbor,2024,presidential,13400,20400,35400,0.39644970414201186
WA,Island,2024,presidential,24800,24500,51600,0.5030425963488844
WA,Jefferson,2024,presidential,14000,7900,22800,0.639269406392694
WA,King,2024,presidential,850000,275000,1165000,0.7555555555555555
WA,Kitsap,2024,presidential,76000,69500,152000,0.5223367697594502
WA,Kittitas,2024,presidential,8500,16300,25700,0.34274193548387094
WA,Klickitat,2024,presidential,4050,7950,12400,0.3375
WA,Lewis,2024,presidential,11400,30000,42800,0.2753623188405797
WA,Lincoln,2024,presidential,1510,5500,7170,0.21540656205420827
WA,Mason,2024,presidential,15300,20400,37500,0.42857142857142855
WA,Okanogan,2024,presidential,7200,13900,21850,0.3412322274881517
WA,Pacific,2024,presidential,5000,6950,12430,0.41841004184100417
WA,Pend Oreille,2024,presidential,2360,5850,8440,0.2874543239951279
WA,Pierce,2024,presidential,215000,196000,430000,0.5231143552311436
WA,San Juan,2024,presidential,7500,3750,11700,0.6666666666666666
WA,Skagit,2024,presidential,33500,39500,76200,0.4589041095890411
WA,Skamania,2024,presidential,2640,4530,7430,0.3682008368200837
WA,Snohomish,2024,presidential,235000,175000,428000,0.573170731707317
WA,Spokane,2024,presidential,110000,155000,276000,0.41509433962264153
WA,Stevens,2024,presidential,6650,20000,27400,0.24953095684803
WA,Thurston,2024,presidential,89000,63500,160000,0.5836065573770491
WA,Wahkiakum,2024,presidential,980,1810,2880,0.35125448028673834
WA,Walla Walla,2024,presidential,10700,18300,30200,0.3689655172413793
WA,Whatcom,2024,presidential,67000,54000,126500,0.5537190082644629
WA,Whitman,2024,presidential,10600,12100,23800,0.4669603524229075
WA,Yakima,2024,presidential,35500,60500,99500,0.3697916666666667
