state,county,county_id,year,prim_or_gen,treat,turnout_share,state_year,period,post_2018,dem_share,dem_share_gov,dem_share_pres,cvap,ballots_cast,vbm_share,share_votes_dem,office,year2,state_year_id
CA,Alameda,1,1998,general,0,0.44512438774108887,CA_1998,original,0,0.7649454474449158,0.7649454474449158,,896920.0,397047.0,0.19162971,0.63319427,,3992004,0
CA,Alameda,1,2000,general,0,,CA_2000,original,0,,,0.7419142127037048,,,,0.615645,,4000000,1
CA,Alameda,1,2002,general,0,0.3841375410556793,CA_2002,original,0,0.7387482523918152,0.7387482523918152,,,346434.0,0.21160452,0.62179816,,4008004,2
CA,Alameda,1,2004,general,0,0.6263000965118408,CA_2004,original,0,,,0.7634834051132202,,567915.0,0.365479,0.6020465,,4016016,3
CA,Alameda,1,2006,general,0,0.455890029668808,CA_2006,original,0,0.6071346402168274,0.6071346402168274,,,415638.0,0.5121404,0.6146564,,4024036,4
CA,Alameda,1,2008,general,0,0.6857087016105652,CA_2008,original,0,,,0.8035770058631897,,628545.0,0.48334965,0.5999034,,4032064,5
CA,Alameda,1,2010,general,0,0.499699205160141,CA_2010,original,0,0.7659573554992676,0.7659573554992676,,937530.0,468483.0,0.54111886,0.6084111,,4040100,6
CA,Alameda,1,2012,general,0,0.6206293106079102,CA_2012,original,0,,,0.8127905130386353,970755.0,602479.0,0.5534616,0.60467654,,4048144,7
CA,Alameda,1,2014,general,0,0.3646825850009918,CA_2014,original,0,0.8217055201530457,0.8217055201530457,,1005255.0,366599.0,0.6207955,0.6162622,,4056196,8
CA,Alameda,1,2016,general,0,0.6442309617996216,CA_2016,original,0,,,0.8429475426673889,1040380.0,670245.0,0.66391844,0.59712166,,4064256,9
CA,Alameda,1,2018,general,0,0.5491510629653931,CA_2018,original,0,0.8055204153060913,0.8055204153060913,,1069835.0,587501.0,0.7285111,0.60148245,,4072324,10
CA,Alameda,1,2020,general,0,0.6799638128861429,CA_2020,extension,1,0.8192111601553381,,0.8192111601553381,1133000.0,770399.0,,,presidential,4080400,11
CA,Alameda,1,2022,general,1,0.49641394527802296,CA_2022,extension,1,0.842863434884876,0.842863434884876,,1133000.0,562437.0,,,governor,4088484,12
