period,outcome,specification,beta,se,n_obs
original,dem_share,basic,0.02340914329962778,0.010525848650646697,756
original,dem_share,linear,0.010585051748631816,0.006643235744515573,756
original,dem_share,quad,0.0016584969190631576,0.008133719351771372,756
original,turnout,basic,0.021206610439670693,0.009259483109028542,1240
original,turnout,linear,0.021507298061902047,0.00648910611274311,1240
original,turnout,quad,0.022338273245626282,0.006556969754685488,1240
extension,dem_share,basic,0.009145218807812567,0.0030725088113316853,378
extension,dem_share,linear,0.030305832896426278,0.011527670924952464,378
extension,dem_share,quad,2.7054593068524126e-38,0.003097239881995543,378
extension,turnout,basic,0.005120887266788707,0.0040882864774907934,378
extension,turnout,linear,0.02396959265098609,0.012996016482925025,378
extension,turnout,quad,-4.6139904765177354e-38,0.004383497753588025,378
