precinct,district,office,writein,party_detailed,party_simplified,candidate,dataverse,mode,votes,jurisdiction_name,state,year,stage,state_po,state_fips,state_cen,state_ic,date,jurisdiction_fips,county_name,county_fips,readme_check,magnitude,special
Axtell SSD,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,106,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Centerfield City,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,433,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim City 1 (North),,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,549,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim City 2 (South West),,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,353,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim City 3 (South East),,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,317,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim U,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,211,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fayette Town,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,91,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fairview City,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,445,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fairview U,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,519,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fountain Green City,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,378,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Gunnison City,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,532,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Manti City 1 (South),,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,570,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Manti Cify 2 (Mid),,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,356,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Manti City 3 (North),,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,259,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Mayfield Town,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,212,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Moroni City,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,414,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Moroni U,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,118,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Mt Pleasant City 2 (East),,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,326,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
