county_name,candidate,party_simplified,votes
ALAMEDA,BRIAN DAHLE,REPUBLICAN,100923
ALAMEDA,GAVIN NEWSOM,DEMOCRAT,387046
ALPINE,BRIAN DAHLE,REPUBLICAN,256
ALPINE,GAVIN NEWSOM,DEMOCRAT,363
AMADOR,BRIAN DAHLE,REPUBLICAN,12628
AMADOR,GAVIN NEWSOM,DEMOCRAT,6027
BUTTE,BRIAN DAHLE,REPUBLICAN,40939
BUTTE,GAVIN NEWSOM,DEMOCRAT,31502
CALAVERAS,BRIAN DAHLE,REPUBLICAN,14137
CALAVERAS,GAVIN NEWSOM,DEMOCRAT,7103
COLUSA,BRIAN DAHLE,REPUBLICAN,4009
COLUSA,GAVIN NEWSOM,DEMOCRAT,1553
CONTRA COSTA,BRIAN DAHLE,REPUBLICAN,123132
CONTRA COSTA,GAVIN NEWSOM,DEMOCRAT,265371
DEL NORTE,BRIAN DAHLE,REPUBLICAN,5111
DEL NORTE,GAVIN NEWSOM,DEMOCRAT,3264
EL DORADO,BRIAN DAHLE,REPUBLICAN,54137
EL DORADO,GAVIN NEWSOM,DEMOCRAT,34534
FRESNO,BRIAN DAHLE,REPUBLICAN,120668
FRESNO,GAVIN NEWSOM,DEMOCRAT,98417
GLENN,BRIAN DAHLE,REPUBLICAN,6000
GLENN,GAVIN NEWSOM,DEMOCRAT,1930
HUMBOLDT,BRIAN DAHLE,REPUBLICAN,18257
HUMBOLDT,GAVIN NEWSOM,DEMOCRAT,29541
IMPERIAL,BRIAN DAHLE,REPUBLICAN,13158
IMPERIAL,GAVIN NEWSOM,DEMOCRAT,16711
INYO,BRIAN DAHLE,REPUBLICAN,4095
INYO,GAVIN NEWSOM,DEMOCRAT,3382
KERN,BRIAN DAHLE,REPUBLICAN,119002
KERN,GAVIN NEWSOM,DEMOCRAT,69701
KINGS,BRIAN DAHLE,REPUBLICAN,17523
KINGS,GAVIN NEWSOM,DEMOCRAT,9389
LAKE,BRIAN DAHLE,REPUBLICAN,10360
LAKE,GAVIN NEWSOM,DEMOCRAT,9771
LASSEN,BRIAN DAHLE,REPUBLICAN,7726
LASSEN,GAVIN NEWSOM,DEMOCRAT,1444
LOS ANGELES,BRIAN DAHLE,REPUBLICAN,769174
LOS ANGELES,GAVIN NEWSOM,DEMOCRAT,1620053
MADERA,BRIAN DAHLE,REPUBLICAN,23678
MADERA,GAVIN NEWSOM,DEMOCRAT,13283
MARIN,BRIAN DAHLE,REPUBLICAN,23775
MARIN,GAVIN NEWSOM,DEMOCRAT,95289
MARIPOSA,BRIAN DAHLE,REPUBLICAN,4896
MARIPOSA,GAVIN NEWSOM,DEMOCRAT,2944
MENDOCINO,BRIAN DAHLE,REPUBLICAN,11363
MENDOCINO,GAVIN NEWSOM,DEMOCRAT,19031
MERCED,BRIAN DAHLE,REPUBLICAN,30073
MERCED,GAVIN NEWSOM,DEMOCRAT,25200
MODOC,BRIAN DAHLE,REPUBLICAN,2725
MODOC,GAVIN NEWSOM,DEMOCRAT,687
MONO,BRIAN DAHLE,REPUBLICAN,2076
MONO,GAVIN NEWSOM,DEMOCRAT,2493
MONTEREY,BRIAN DAHLE,REPUBLICAN,36867
MONTEREY,GAVIN NEWSOM,DEMOCRAT,65262
NAPA,BRIAN DAHLE,REPUBLICAN,17671
NAPA,GAVIN NEWSOM,DEMOCRAT,32437
NEVADA,BRIAN DAHLE,REPUBLICAN,24082
NEVADA,GAVIN NEWSOM,DEMOCRAT,26655
ORANGE,BRIAN DAHLE,REPUBLICAN,492734
ORANGE,GAVIN NEWSOM,DEMOCRAT,464206
PLACER,BRIAN DAHLE,REPUBLICAN,108450
PLACER,GAVIN NEWSOM,DEMOCRAT,73619
PLUMAS,BRIAN DAHLE,REPUBLICAN,5550
PLUMAS,GAVIN NEWSOM,DEMOCRAT,3083
RIVERSIDE,BRIAN DAHLE,REPUBLICAN,310901
RIVERSIDE,GAVIN NEWSOM,DEMOCRAT,285000
SACRAMENTO,BRIAN DAHLE,REPUBLICAN,202933
SACRAMENTO,GAVIN NEWSOM,DEMOCRAT,274680
SAN BENITO,BRIAN DAHLE,REPUBLICAN,9150
SAN BENITO,GAVIN NEWSOM,DEMOCRAT,10428
SAN BERNARDINO,BRIAN DAHLE,REPUBLICAN,239109
SAN BERNARDINO,GAVIN NEWSOM,DEMOCRAT,215391
SAN DIEGO,BRIAN DAHLE,REPUBLICAN,454533
SAN DIEGO,GAVIN NEWSOM,DEMOCRAT,573765
SAN FRANCISCO,BRIAN DAHLE,REPUBLICAN,44064
SAN FRANCISCO,GAVIN NEWSOM,DEMOCRAT,257402
SAN JOAQUIN,BRIAN DAHLE,REPUBLICAN,91827
SAN JOAQUIN,GAVIN NEWSOM,DEMOCRAT,85498
SAN LUIS OBISPO,BRIAN DAHLE,REPUBLICAN,58464
SAN LUIS OBISPO,GAVIN NEWSOM,DEMOCRAT,61166
SAN MATEO,BRIAN DAHLE,REPUBLICAN,61918
SAN MATEO,GAVIN NEWSOM,DEMOCRAT,185599
SANTA BARBARA,BRIAN DAHLE,REPUBLICAN,54726
SANTA BARBARA,GAVIN NEWSOM,DEMOCRAT,80648
SANTA CLARA,BRIAN DAHLE,REPUBLICAN,162518
SANTA CLARA,GAVIN NEWSOM,DEMOCRAT,379377
SANTA CRUZ,BRIAN DAHLE,REPUBLICAN,25052
SANTA CRUZ,GAVIN NEWSOM,DEMOCRAT,79117
SHASTA,BRIAN DAHLE,REPUBLICAN,49913
SHASTA,GAVIN NEWSOM,DEMOCRAT,18607
SIERRA,BRIAN DAHLE,REPUBLICAN,1014
SIERRA,GAVIN NEWSOM,DEMOCRAT,529
SISKIYOU,BRIAN DAHLE,REPUBLICAN,11397
SISKIYOU,GAVIN NEWSOM,DEMOCRAT,6326
SOLANO,BRIAN DAHLE,REPUBLICAN,52850
SOLANO,GAVIN NEWSOM,DEMOCRAT,77769
SONOMA,BRIAN DAHLE,REPUBLICAN,57413
SONOMA,GAVIN NEWSOM,DEMOCRAT,140041
STANISLAUS,BRIAN DAHLE,REPUBLICAN,75656
STANISLAUS,GAVIN NEWSOM,DEMOCRAT,55311
SUTTER,BRIAN DAHLE,REPUBLICAN,19024
SUTTER,GAVIN NEWSOM,DEMOCRAT,9082
TEHAMA,BRIAN DAHLE,REPUBLICAN,15607
TEHAMA,GAVIN NEWSOM,DEMOCRAT,5024
TRINITY,BRIAN DAHLE,REPUBLICAN,2667
TRINITY,GAVIN NEWSOM,DEMOCRAT,1860
TULARE,BRIAN DAHLE,REPUBLICAN,58053
TULARE,GAVIN NEWSOM,DEMOCRAT,33273
TUOLUMNE,BRIAN DAHLE,REPUBLICAN,14759
TUOLUMNE,GAVIN NEWSOM,DEMOCRAT,8471
VENTURA,BRIAN DAHLE,REPUBLICAN,127709
VENTURA,GAVIN NEWSOM,DEMOCRAT,153226
YOLO,BRIAN DAHLE,REPUBLICAN,22807
YOLO,GAVIN NEWSOM,DEMOCRAT,44328
YUBA,BRIAN DAHLE,REPUBLICAN,13097
YUBA,GAVIN NEWSOM,DEMOCRAT,6534
