county,state,fips,cvap_2020,cvap_moe_2020
Alameda,California,0500000US06001,1090920,4628
Alpine,California,0500000US06003,885,131
Amador,California,0500000US06005,32155,213
Butte,California,0500000US06007,170880,783
Calaveras,California,0500000US06009,37375,376
Colusa,California,0500000US06011,12660,289
Contra Costa,California,0500000US06013,773975,3194
Del Norte,California,0500000US06015,20510,281
El Dorado,California,0500000US06017,145560,706
Fresno,California,0500000US06019,603615,3305
Glenn,California,0500000US06021,17465,462
Humboldt,California,0500000US06023,106930,514
Imperial,California,0500000US06025,103405,1907
Inyo,California,0500000US06027,13580,192
Kern,California,0500000US06029,529780,2446
Kings,California,0500000US06031,93220,1186
Lake,California,0500000US06033,48080,484
Lassen,California,0500000US06035,24475,285
Los Angeles,California,0500000US06037,6367650,11306
Madera,California,0500000US06039,93350,1207
Marin,California,0500000US06041,185435,1160
Mariposa,California,0500000US06043,14065,174
Mendocino,California,0500000US06045,62395,603
Merced,California,0500000US06047,152160,1751
Modoc,California,0500000US06049,6800,151
Mono,California,0500000US06051,10185,456
Monterey,California,0500000US06053,236780,2154
Napa,California,0500000US06055,96215,972
Nevada,California,0500000US06057,79685,876
Orange,California,0500000US06059,2094495,5721
Placer,California,0500000US06061,290875,1030
Plumas,California,0500000US06063,15450,107
Riverside,California,0500000US06065,1590050,6272
Sacramento,California,0500000US06067,1055095,3213
San Benito,California,0500000US06069,39680,831
San Bernardino,California,0500000US06071,1384075,4226
San Diego,California,0500000US06073,2296505,5977
San Francisco,California,0500000US06075,652670,3216
San Joaquin,California,0500000US06077,467710,2995
San Luis Obispo,California,0500000US06079,220305,1035
San Mateo,California,0500000US06081,505585,2911
Santa Barbara,California,0500000US06083,283925,1972
Santa Clara,California,0500000US06085,1172800,5213
Santa Cruz,California,0500000US06087,194295,1634
Shasta,California,0500000US06089,136020,729
Sierra,California,0500000US06091,2435,126
Siskiyou,California,0500000US06093,33875,162
Solano,California,0500000US06095,313110,1536
Sonoma,California,0500000US06097,357035,1878
Stanislaus,California,0500000US06099,343780,2335
Sutter,California,0500000US06101,62115,723
Tehama,California,0500000US06103,46450,442
Trinity,California,0500000US06105,10260,70
Tulare,California,0500000US06107,261090,2274
Tuolumne,California,0500000US06109,44405,204
Ventura,California,0500000US06111,569915,2844
Yolo,California,0500000US06113,148330,1585
Yuba,California,0500000US06115,52380,494
Beaver,Utah,0500000US49001,4185,124
Box Elder,Utah,0500000US49003,36915,199
Cache,Utah,0500000US49005,83425,488
Carbon,Utah,0500000US49007,14765,155
Daggett,Utah,0500000US49009,440,117
Davis,Utah,0500000US49011,230825,859
Duchesne,Utah,0500000US49013,12870,95
Emery,Utah,0500000US49015,6980,76
Garfield,Utah,0500000US49017,3705,109
Grand,Utah,0500000US49019,7240,264
Iron,Utah,0500000US49021,36925,373
Juab,Utah,0500000US49023,7505,84
Kane,Utah,0500000US49025,5945,87
Millard,Utah,0500000US49027,8470,89
Morgan,Utah,0500000US49029,7660,81
Piute,Utah,0500000US49031,1460,147
Rich,Utah,0500000US49033,1530,91
Salt Lake,Utah,0500000US49035,755605,2784
San Juan,Utah,0500000US49037,10570,57
Sanpete,Utah,0500000US49039,21715,235
Sevier,Utah,0500000US49041,14960,73
Summit,Utah,0500000US49043,29350,251
Tooele,Utah,0500000US49045,45615,388
Uintah,Utah,0500000US49047,23570,166
Utah,Utah,0500000US49049,390250,1293
Wasatch,Utah,0500000US49051,21520,261
Washington,Utah,0500000US49053,122420,822
Wayne,Utah,0500000US49055,1880,62
Weber,Utah,0500000US49057,174590,868
Adams,Washington,0500000US53001,9200,446
Asotin,Washington,0500000US53003,17585,175
Benton,Washington,0500000US53005,135220,1062
Chelan,Washington,0500000US53007,52830,802
Clallam,Washington,0500000US53009,62080,271
Clark,Washington,0500000US53011,347085,1127
Columbia,Washington,0500000US53013,3185,62
Cowlitz,Washington,0500000US53015,81755,439
Douglas,Washington,0500000US53017,27045,385
Ferry,Washington,0500000US53019,6355,69
Franklin,Washington,0500000US53021,50230,873
Garfield,Washington,0500000US53023,1725,72
Grant,Washington,0500000US53025,56825,931
Grays Harbor,Washington,0500000US53027,56970,346
Island,Washington,0500000US53029,66905,334
Jefferson,Washington,0500000US53031,27385,242
King,Washington,0500000US53033,1524945,3992
Kitsap,Washington,0500000US53035,207375,681
Kittitas,Washington,0500000US53037,38015,234
Klickitat,Washington,0500000US53039,16555,241
Lewis,Washington,0500000US53041,60015,295
Lincoln,Washington,0500000US53043,8370,46
Mason,Washington,0500000US53045,50255,403
Okanogan,Washington,0500000US53047,29410,382
Pacific,Washington,0500000US53049,17915,203
Pend Oreille,Washington,0500000US53051,10855,77
Pierce,Washington,0500000US53053,647820,1877
San Juan,Washington,0500000US53055,14070,102
Skagit,Washington,0500000US53057,93170,585
Skamania,Washington,0500000US53059,9475,97
Snohomish,Washington,0500000US53061,569890,2186
Spokane,Washington,0500000US53063,389100,1041
Stevens,Washington,0500000US53065,35165,185
Thurston,Washington,0500000US53067,215120,978
Wahkiakum,Washington,0500000US53069,3460,104
Walla Walla,Washington,0500000US53071,44995,332
Whatcom,Washington,0500000US53073,170360,1025
Whitman,Washington,0500000US53075,38685,491
Yakima,Washington,0500000US53077,147260,1533
