county_name,candidate,party_simplified,votes
BEAVER,EVAN MCMULLIN,OTHER,419
BEAVER,JAMES ARTHUR HANSEN,LIBERTARIAN,33
BEAVER,MIKE LEE,REPUBLICAN,1971
BEAVER,TOMMY WILLIAMS,OTHER,24
BOX ELDER,EVAN MCMULLIN,OTHER,4725
BOX ELDER,JAMES ARTHUR HANSEN,LIBERTARIAN,463
BOX ELDER,MIKE LEE,REPUBLICAN,14434
BOX ELDER,TOMMY WILLIAMS,OTHER,276
CACHE,EVAN MCMULLIN,OTHER,15580
CACHE,JAMES ARTHUR HANSEN,LIBERTARIAN,1228
CACHE,MIKE LEE,REPUBLICAN,24588
CACHE,TOMMY WILLIAMS,OTHER,586
CARBON,EVAN MCMULLIN,OTHER,2114
CARBON,JAMES ARTHUR HANSEN,LIBERTARIAN,230
CARBON,MIKE LEE,REPUBLICAN,4265
CARBON,TOMMY WILLIAMS,OTHER,119
DAGGETT,EVAN MCMULLIN,OTHER,109
DAGGETT,JAMES ARTHUR HANSEN,LIBERTARIAN,4
DAGGETT,MIKE LEE,REPUBLICAN,377
DAGGETT,TOMMY WILLIAMS,OTHER,8
DAVIS,EVAN MCMULLIN,OTHER,52806
DAVIS,JAMES ARTHUR HANSEN,LIBERTARIAN,2897
DAVIS,MIKE LEE,REPUBLICAN,66385
DAVIS,TOMMY WILLIAMS,OTHER,1654
DUCHESNE,EVAN MCMULLIN,OTHER,912
DUCHESNE,JAMES ARTHUR HANSEN,LIBERTARIAN,96
DUCHESNE,MIKE LEE,REPUBLICAN,5170
DUCHESNE,TOMMY WILLIAMS,OTHER,103
EMERY,EVAN MCMULLIN,OTHER,712
EMERY,JAMES ARTHUR HANSEN,LIBERTARIAN,70
EMERY,MIKE LEE,REPUBLICAN,3269
EMERY,TOMMY WILLIAMS,OTHER,56
GARFIELD,EVAN MCMULLIN,OTHER,520
GARFIELD,JAMES ARTHUR HANSEN,LIBERTARIAN,33
GARFIELD,MIKE LEE,REPUBLICAN,1795
GARFIELD,TOMMY WILLIAMS,OTHER,37
GRAND,EVAN MCMULLIN,OTHER,2422
GRAND,JAMES ARTHUR HANSEN,LIBERTARIAN,250
GRAND,MIKE LEE,REPUBLICAN,1901
GRAND,TOMMY WILLIAMS,OTHER,71
IRON,EVAN MCMULLIN,OTHER,3755
IRON,JAMES ARTHUR HANSEN,LIBERTARIAN,437
IRON,MIKE LEE,REPUBLICAN,12923
IRON,TOMMY WILLIAMS,OTHER,194
JUAB,EVAN MCMULLIN,OTHER,714
JUAB,JAMES ARTHUR HANSEN,LIBERTARIAN,70
JUAB,MIKE LEE,REPUBLICAN,3886
JUAB,TOMMY WILLIAMS,OTHER,61
KANE,EVAN MCMULLIN,OTHER,946
KANE,JAMES ARTHUR HANSEN,LIBERTARIAN,104
KANE,MIKE LEE,REPUBLICAN,2553
KANE,TOMMY WILLIAMS,OTHER,56
MILLARD,EVAN MCMULLIN,OTHER,701
MILLARD,JAMES ARTHUR HANSEN,LIBERTARIAN,88
MILLARD,MIKE LEE,REPUBLICAN,4279
MILLARD,TOMMY WILLIAMS,OTHER,62
MORGAN,EVAN MCMULLIN,OTHER,1358
MORGAN,JAMES ARTHUR HANSEN,LIBERTARIAN,79
MORGAN,MIKE LEE,REPUBLICAN,3665
MORGAN,TOMMY WILLIAMS,OTHER,52
PIUTE,EVAN MCMULLIN,OTHER,82
PIUTE,JAMES ARTHUR HANSEN,LIBERTARIAN,6
PIUTE,MIKE LEE,REPUBLICAN,692
PIUTE,TOMMY WILLIAMS,OTHER,3
RICH,EVAN MCMULLIN,OTHER,206
RICH,JAMES ARTHUR HANSEN,LIBERTARIAN,14
RICH,MIKE LEE,REPUBLICAN,844
RICH,TOMMY WILLIAMS,OTHER,9
SALT LAKE,EVAN MCMULLIN,OTHER,218495
SALT LAKE,JAMES ARTHUR HANSEN,LIBERTARIAN,13902
SALT LAKE,MIKE LEE,REPUBLICAN,144931
SALT LAKE,TOMMY WILLIAMS,OTHER,3780
SAN JUAN,EVAN MCMULLIN,OTHER,1815
SAN JUAN,JAMES ARTHUR HANSEN,LIBERTARIAN,338
SAN JUAN,MIKE LEE,REPUBLICAN,3118
SAN JUAN,TOMMY WILLIAMS,OTHER,289
SANPETE,EVAN MCMULLIN,OTHER,1912
SANPETE,JAMES ARTHUR HANSEN,LIBERTARIAN,150
SANPETE,MIKE LEE,REPUBLICAN,7829
SANPETE,TOMMY WILLIAMS,OTHER,113
SEVIER,EVAN MCMULLIN,OTHER,1152
SEVIER,JAMES ARTHUR HANSEN,LIBERTARIAN,120
SEVIER,MIKE LEE,REPUBLICAN,6411
SEVIER,TOMMY WILLIAMS,OTHER,92
SUMMIT,EVAN MCMULLIN,OTHER,12325
SUMMIT,JAMES ARTHUR HANSEN,LIBERTARIAN,553
SUMMIT,MIKE LEE,REPUBLICAN,7305
SUMMIT,TOMMY WILLIAMS,OTHER,171
TOOELE,EVAN MCMULLIN,OTHER,7487
TOOELE,JAMES ARTHUR HANSEN,LIBERTARIAN,809
TOOELE,MIKE LEE,REPUBLICAN,13371
TOOELE,TOMMY WILLIAMS,OTHER,402
UINTAH,EVAN MCMULLIN,OTHER,1559
UINTAH,JAMES ARTHUR HANSEN,LIBERTARIAN,203
UINTAH,MIKE LEE,REPUBLICAN,8905
UINTAH,TOMMY WILLIAMS,OTHER,166
UTAH,EVAN MCMULLIN,OTHER,72238
UTAH,JAMES ARTHUR HANSEN,LIBERTARIAN,4949
UTAH,MIKE LEE,REPUBLICAN,127096
UTAH,TOMMY WILLIAMS,OTHER,1762
WASATCH,EVAN MCMULLIN,OTHER,5425
WASATCH,JAMES ARTHUR HANSEN,LIBERTARIAN,349
WASATCH,MIKE LEE,REPUBLICAN,7384
WASATCH,TOMMY WILLIAMS,OTHER,156
WASHINGTON,EVAN MCMULLIN,OTHER,17786
WASHINGTON,JAMES ARTHUR HANSEN,LIBERTARIAN,1526
WASHINGTON,MIKE LEE,REPUBLICAN,49420
WASHINGTON,TOMMY WILLIAMS,OTHER,769
WAYNE,EVAN MCMULLIN,OTHER,415
WAYNE,JAMES ARTHUR HANSEN,LIBERTARIAN,26
WAYNE,MIKE LEE,REPUBLICAN,1056
WAYNE,TOMMY WILLIAMS,OTHER,17
WEBER,EVAN MCMULLIN,OTHER,31265
WEBER,JAMES ARTHUR HANSEN,LIBERTARIAN,2756
WEBER,MIKE LEE,REPUBLICAN,42007
WEBER,TOMMY WILLIAMS,OTHER,1011
