county_name,candidate,party_simplified,votes
ADAMS,PATTY MURRAY,DEMOCRAT,969
ADAMS,TIFFANY SMILEY,REPUBLICAN,3150
ASOTIN,PATTY MURRAY,DEMOCRAT,3181
ASOTIN,TIFFANY SMILEY,REPUBLICAN,5824
BENTON,PATTY MURRAY,DEMOCRAT,25506
BENTON,TIFFANY SMILEY,REPUBLICAN,49983
CHELAN,PATTY MURRAY,DEMOCRAT,14370
CHELAN,TIFFANY SMILEY,REPUBLICAN,19812
CLALLAM,PATTY MURRAY,DEMOCRAT,20784
CLALLAM,TIFFANY SMILEY,REPUBLICAN,19401
CLARK,PATTY MURRAY,DEMOCRAT,105055
CLARK,TIFFANY SMILEY,REPUBLICAN,100250
COLUMBIA,PATTY MURRAY,DEMOCRAT,568
COLUMBIA,TIFFANY SMILEY,REPUBLICAN,1422
COWLITZ,PATTY MURRAY,DEMOCRAT,17439
COWLITZ,TIFFANY SMILEY,REPUBLICAN,27446
DOUGLAS,PATTY MURRAY,DEMOCRAT,5275
DOUGLAS,TIFFANY SMILEY,REPUBLICAN,10806
FERRY,PATTY MURRAY,DEMOCRAT,1060
FERRY,TIFFANY SMILEY,REPUBLICAN,2348
FRANKLIN,PATTY MURRAY,DEMOCRAT,7018
FRANKLIN,TIFFANY SMILEY,REPUBLICAN,15061
GARFIELD,PATTY MURRAY,DEMOCRAT,307
GARFIELD,TIFFANY SMILEY,REPUBLICAN,977
GRANT,PATTY MURRAY,DEMOCRAT,7211
GRANT,TIFFANY SMILEY,REPUBLICAN,19589
GRAYS HARBOR,PATTY MURRAY,DEMOCRAT,13581
GRAYS HARBOR,TIFFANY SMILEY,REPUBLICAN,15685
ISLAND,PATTY MURRAY,DEMOCRAT,23680
ISLAND,TIFFANY SMILEY,REPUBLICAN,19275
JEFFERSON,PATTY MURRAY,DEMOCRAT,14970
JEFFERSON,TIFFANY SMILEY,REPUBLICAN,6185
KING,PATTY MURRAY,DEMOCRAT,668692
KING,TIFFANY SMILEY,REPUBLICAN,220307
KITSAP,PATTY MURRAY,DEMOCRAT,70931
KITSAP,TIFFANY SMILEY,REPUBLICAN,52130
KITTITAS,PATTY MURRAY,DEMOCRAT,8318
KITTITAS,TIFFANY SMILEY,REPUBLICAN,12446
KLICKITAT,PATTY MURRAY,DEMOCRAT,4798
KLICKITAT,TIFFANY SMILEY,REPUBLICAN,6639
LEWIS,PATTY MURRAY,DEMOCRAT,11216
LEWIS,TIFFANY SMILEY,REPUBLICAN,24459
LINCOLN,PATTY MURRAY,DEMOCRAT,1400
LINCOLN,TIFFANY SMILEY,REPUBLICAN,4558
MASON,PATTY MURRAY,DEMOCRAT,13777
MASON,TIFFANY SMILEY,REPUBLICAN,15612
OKANOGAN,PATTY MURRAY,DEMOCRAT,6405
OKANOGAN,TIFFANY SMILEY,REPUBLICAN,9793
PACIFIC,PATTY MURRAY,DEMOCRAT,5693
PACIFIC,TIFFANY SMILEY,REPUBLICAN,5958
PEND ORIELLE,PATTY MURRAY,DEMOCRAT,2032
PEND ORIELLE,TIFFANY SMILEY,REPUBLICAN,4739
PIERCE,PATTY MURRAY,DEMOCRAT,175143
PIERCE,TIFFANY SMILEY,REPUBLICAN,156285
SAN JUAN,PATTY MURRAY,DEMOCRAT,8254
SAN JUAN,TIFFANY SMILEY,REPUBLICAN,3055
SKAGIT,PATTY MURRAY,DEMOCRAT,29313
SKAGIT,TIFFANY SMILEY,REPUBLICAN,27390
SKAMANIA,PATTY MURRAY,DEMOCRAT,2620
SKAMANIA,TIFFANY SMILEY,REPUBLICAN,3599
SNOHOMISH,PATTY MURRAY,DEMOCRAT,184423
SNOHOMISH,TIFFANY SMILEY,REPUBLICAN,135322
SPOKANE,PATTY MURRAY,DEMOCRAT,100719
SPOKANE,TIFFANY SMILEY,REPUBLICAN,120369
STEVENS,PATTY MURRAY,DEMOCRAT,6073
STEVENS,TIFFANY SMILEY,REPUBLICAN,16803
THURSTON,PATTY MURRAY,DEMOCRAT,73184
THURSTON,TIFFANY SMILEY,REPUBLICAN,52567
WAHKIAKUM,PATTY MURRAY,DEMOCRAT,1007
WAHKIAKUM,TIFFANY SMILEY,REPUBLICAN,1551
WALLA WALLA,PATTY MURRAY,DEMOCRAT,10024
WALLA WALLA,TIFFANY SMILEY,REPUBLICAN,14164
WHATCOM,PATTY MURRAY,DEMOCRAT,65950
WHATCOM,TIFFANY SMILEY,REPUBLICAN,45038
WHITMAN,PATTY MURRAY,DEMOCRAT,7771
WHITMAN,TIFFANY SMILEY,REPUBLICAN,7714
YAKIMA,PATTY MURRAY,DEMOCRAT,22538
YAKIMA,TIFFANY SMILEY,REPUBLICAN,40182
