Outcome,Specification,Original_Coef,Original_SE,Replicated_Coef,Replicated_SE,Difference,Pct_Difference,N,N_Clusters
Table 2 - Dem Turnout Share,Basic,0.007,0.003,0.007236402277974084,0.0031063007711430632,0.000236402277974084,3.3771753996297713,986,87
Table 2 - Dem Turnout Share,Linear,0.001,0.001,0.0011508271618353462,0.0014091283838221444,0.0001508271618353462,15.08271618353462,986,87
Table 2 - Dem Turnout Share,Quadratic,0.001,0.001,0.0009376863939001295,0.0011384941938484057,-6.231360609987053e-05,-6.231360609987052,986,87
Table 2 - Dem Vote Share,Basic,0.028,0.011,0.02846535113199833,0.011256357249150086,0.0004653511319983282,1.6619683285654578,1998,126
Table 2 - Dem Vote Share,Linear,0.011,0.004,0.010860313490371549,0.003761244857820633,-0.00013968650962845053,-1.2698773602586413,1998,126
Table 2 - Dem Vote Share,Quadratic,0.007,0.003,0.0065276241051384605,0.003206686700227023,-0.0004723758948615396,-6.748227069450566,1998,126
Table 3 - Turnout,Basic,0.021,0.009,0.02120661043967074,0.009255745678761683,0.00020661043967074022,0.9838592365273343,1240,126
Table 3 - Turnout,Linear,0.022,0.007,0.021501318187115842,0.006486282863306781,-0.0004986818128841566,-2.2667355131098033,1240,126
Table 3 - Turnout,Quadratic,0.021,0.008,0.021030965666071797,0.007190680947509279,3.0965666071795794e-05,0.1474555527228371,1240,126
Table 3 - VBM Share,Basic,0.186,0.027,0.18603814039340444,0.026422552433986148,3.8140393404439976e-05,0.02050558785184945,580,58
Table 3 - VBM Share,Linear,0.157,0.035,0.15745336201175653,0.032896468436412404,0.00045336201175652513,0.288765612583774,580,58
Table 3 - VBM Share,Quadratic,0.136,0.085,0.13589588042585882,0.07557657080061887,-0.00010411957414119266,-0.07655851039793578,580,58
